targ_img,targ,cat1,cat2,cat3,word1,word3,word2,img3,img2,img1,correct,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,resp.keys,resp.corr,resp.rt,readyTest.keys,readyTest.rt,date,frameRate,expName,session,participant,
stim/kettle.jpg,kettle,tax,them,dist,coffee maker,doorknob,stove,stim/doorknob.jpg,stim/stove.jpg,stim/coffeemaker.jpg,left,0,0,0,0,,,,,left,1,1.2854988575,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/car.jpg,car,dist,tax,them,yarn,stopsign,train,stim/stopsign.jpg,stim/train.jpg,stim/yarn.jpg,down,0,1,1,5,,,,,right,0,1.45236897469,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/sock.jpg,sock,tax,them,dist,pants,cake,shoe,stim/cake.jpg,stim/shoe.jpg,stim/pants.jpg,left,0,2,2,3,,,,,down,0,4.40157294273,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/toaster.jpg,toaster,them,dist,tax,bread,microwave,trumpet,stim/microwave.jpg,stim/trumpet.jpg,stim/bread.jpg,right,0,3,3,4,,,,,right,1,1.6188120842,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/lock.jpg,lock,dist,tax,them,grapes,key,handcuffs,stim/key.jpg,stim/handcuffs.jpg,stim/grapes.jpg,down,0,4,4,2,,,,,down,1,2.71891999245,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/cardinal.jpg,bird,them,dist,tax,tree,turtle,guitar,stim/turtle.jpg,stim/guitar.jpg,stim/tree.jpg,right,0,5,5,1,,,,,right,1,3.16892790794,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
,,,,,,,,,,,,,,,,,,,,,,,space,4.00297212601,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/eggs.jpg,eggs,dist,tax,them,ribbon,pan,croissant,stim/pan.jpg,stim/croissant.jpg,stim/ribbon.jpg,down,,,,,0,0,0,10,down,1,1.55193901062,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/knife.jpg,knife,dist,tax,them,camel,cutting board,sword,stim/cuttingboard.jpg,stim/sword.jpg,stim/camel.jpg,down,,,,,0,1,1,14,down,1,1.1358499527,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/horn.jpg,horn,tax,them,dist,clarinet,chips,music stand,stim/chips.jpg,stim/musicstand.jpg,stim/clarinet.jpg,left,,,,,0,2,2,13,left,1,0.850630044937,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/chipmunk.jpg,chipmunk,them,dist,tax,peanut,cat,mixer,stim/cat.jpg,stim/mixer.jpg,stim/peanut.jpg,right,,,,,0,3,3,6,right,1,1.26891207695,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/headband.jpg,headband,them,dist,tax,hairbrush,scrunchie,golfball,stim/scrunchie.jpg,stim/golfball.jpg,stim/hairbrush.jpg,right,,,,,0,4,4,12,right,1,2.98563885689,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/paintbrush.jpg,paintbrush,tax,dist,them,pen,easel,rooster,stim/easel.jpg,stim/rooster.jpg,stim/pen.jpg,left,,,,,0,5,5,19,left,1,2.55214810371,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/mop.jpg,mop,dist,tax,them,calculator,bucket,duster,stim/bucket.jpg,stim/duster.jpg,stim/calculator.jpg,down,,,,,0,6,6,16,down,1,1.06860113144,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/anchor.jpg,anchor,tax,them,dist,weight,antelope,life jacket,stim/antelope.jpg,stim/lifejacket.jpg,stim/dumbbell.jpg,left,,,,,0,7,7,1,left,1,3.68555593491,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/soda.jpg,soda,them,dist,tax,chips,juice,seashell,stim/juice.jpg,stim/seashell.jpg,stim/chips.jpg,right,,,,,0,8,8,21,right,1,0.968116998672,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/printer.jpg,printer,tax,them,dist,shredder,wheelchair,desk,stim/wheelchair.jpg,stim/desk.jpg,stim/shredder.jpg,left,,,,,0,9,9,20,left,1,2.53544282913,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/cup.jpg,cup,them,dist,tax,juice,mug,ironing board,stim/mug.jpg,stim/ironboard.jpg,stim/juice.jpg,right,,,,,0,10,10,9,right,1,1.91867589951,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/binoculars.jpg,binoculars,dist,tax,them,bell,puffin,microscope,stim/puffin.jpg,stim/microscope.jpg,stim/bell.jpg,down,,,,,0,11,11,3,down,1,2.15201687813,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
stim/corkscrew.jpg,corkscrew,them,dist,tax,wine,peeler,peanut,stim/peeler.jpg,stim/peanut.jpg,stim/wine.jpg,right,,,,,0,12,12,8,right,1,1.60205411911,,,2019_Feb_18_1329,59.9865848025,taxthemexp_tax_img,01,666,
