Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
UnsupervisedSparse	target	test14	x	target	1	4.670
UnsupervisedSparse	target	test4	n	nottarget	0	2.023
UnsupervisedSparse	target	test9	x	target	1	1.020
UnsupervisedSparse	nottarget	contr2	n	nottarget	1	1.179
UnsupervisedSparse	nottarget	contr11	x	target	0	1.027
UnsupervisedSparse	nottarget	contr7	n	nottarget	1	0.954
UnsupervisedSparse	nottarget	contr10	n	nottarget	1	0.644
UnsupervisedSparse	target	test5	x	target	1	0.627
UnsupervisedSparse	target	test8	x	target	1	0.608
UnsupervisedSparse	nottarget	contr15	x	target	0	1.872
UnsupervisedSparse	nottarget	contr3	x	target	0	0.948
UnsupervisedSparse	nottarget	contr8	n	nottarget	1	0.814
UnsupervisedSparse	target	test13	x	target	1	1.126
UnsupervisedSparse	nottarget	catch4	None	None	0	9999.000
UnsupervisedSparse	nottarget	contr14	x	target	0	0.140
UnsupervisedSparse	nottarget	contr1	n	nottarget	1	1.350
UnsupervisedSparse	nottarget	catch8	None	None	0	9999.000
UnsupervisedSparse	nottarget	catch2	n	nottarget	1	1.123
UnsupervisedSparse	nottarget	catch3	None	None	0	9999.000
UnsupervisedSparse	nottarget	contr16	n	nottarget	1	1.145
UnsupervisedSparse	target	test16	x	target	1	0.667
UnsupervisedSparse	nottarget	contr4	x	target	0	0.769
UnsupervisedSparse	target	test6	x	target	1	0.673
UnsupervisedSparse	nottarget	catch5	None	None	0	9999.000
UnsupervisedSparse	nottarget	contr9	x	target	0	0.785
UnsupervisedSparse	target	test15	n	nottarget	0	0.826
UnsupervisedSparse	nottarget	contr12	x	target	0	0.840
UnsupervisedSparse	target	test11	n	nottarget	0	0.775
UnsupervisedSparse	target	test12	n	nottarget	0	0.703
UnsupervisedSparse	nottarget	catch6	None	None	0	9999.000
UnsupervisedSparse	nottarget	contr5	n	nottarget	1	0.654
UnsupervisedSparse	target	test3	n	nottarget	0	0.732
UnsupervisedSparse	target	test7	n	nottarget	0	0.519
UnsupervisedSparse	nottarget	catch1	None	None	0	9999.000
UnsupervisedSparse	nottarget	catch7	None	None	0	9999.000
UnsupervisedSparse	target	test10	n	nottarget	0	0.817
UnsupervisedSparse	nottarget	contr6	n	nottarget	1	0.457
UnsupervisedSparse	target	test2	n	nottarget	0	0.639
UnsupervisedSparse	target	test1	n	nottarget	0	0.493
UnsupervisedSparse	nottarget	contr13	n	nottarget	1	0.618
SupervisedSparse	target	test13	x	target	1	3.855
SupervisedSparse	nottarget	contr7	n	nottarget	1	1.738
SupervisedSparse	nottarget	catch8	n	nottarget	1	4.138
SupervisedSparse	target	test9	x	target	1	0.953
SupervisedSparse	target	test10	x	target	1	1.826
SupervisedSparse	nottarget	contr2	n	nottarget	1	1.488
SupervisedSparse	nottarget	catch2	None	None	0	9999.000
SupervisedSparse	nottarget	contr3	x	target	0	0.630
SupervisedSparse	nottarget	catch3	None	None	0	9999.000
SupervisedSparse	nottarget	contr5	n	nottarget	1	1.216
SupervisedSparse	target	test14	x	target	1	0.730
SupervisedSparse	nottarget	contr15	n	nottarget	1	1.150
SupervisedSparse	target	test6	x	target	1	2.136
SupervisedSparse	nottarget	contr14	n	nottarget	1	0.952
SupervisedSparse	target	test7	x	target	1	0.674
SupervisedSparse	nottarget	contr10	n	nottarget	1	1.030
SupervisedSparse	nottarget	catch7	None	None	0	9999.000
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.944
SupervisedSparse	target	test2	x	target	1	0.673
SupervisedSparse	target	test12	x	target	1	0.623
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.718
SupervisedSparse	nottarget	contr4	n	nottarget	1	0.482
SupervisedSparse	nottarget	catch6	None	None	0	9999.000
SupervisedSparse	target	test5	x	target	1	0.825
SupervisedSparse	target	test3	x	target	1	0.377
SupervisedSparse	nottarget	contr9	n	nottarget	1	0.779
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.562
SupervisedSparse	nottarget	catch5	None	None	0	9999.000
SupervisedSparse	target	test1	x	target	1	0.607
SupervisedSparse	nottarget	catch1	None	None	0	9999.000
SupervisedSparse	target	test15	x	target	1	0.626
SupervisedSparse	nottarget	contr11	n	nottarget	1	1.034
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.665
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.662
SupervisedSparse	target	test4	x	target	1	0.637
SupervisedSparse	target	test8	x	target	1	0.490
SupervisedSparse	target	test16	x	target	1	1.015
SupervisedSparse	nottarget	contr8	n	nottarget	1	1.230
SupervisedSparse	nottarget	catch4	None	None	0	9999.000
SupervisedSparse	target	test11	x	target	1	0.968
