Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
UnsupervisedDense	nottarget	contr14	n	nottarget	1	3.805
UnsupervisedDense	nottarget	catch3	n	nottarget	1	2.064
UnsupervisedDense	nottarget	catch6	n	nottarget	1	2.011
UnsupervisedDense	nottarget	contr6	n	nottarget	1	2.537
UnsupervisedDense	target	test6	x	target	1	1.441
UnsupervisedDense	target	test9	x	target	1	0.831
UnsupervisedDense	nottarget	contr13	n	nottarget	1	1.068
UnsupervisedDense	nottarget	catch2	n	nottarget	1	1.040
UnsupervisedDense	nottarget	contr4	n	nottarget	1	0.991
UnsupervisedDense	nottarget	contr10	n	nottarget	1	1.079
UnsupervisedDense	target	test8	x	target	1	0.756
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.812
UnsupervisedDense	nottarget	contr5	n	nottarget	1	1.132
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.918
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.953
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.930
UnsupervisedDense	nottarget	contr2	n	nottarget	1	1.022
UnsupervisedDense	nottarget	catch1	n	nottarget	1	1.068
UnsupervisedDense	target	test11	x	target	1	0.673
UnsupervisedDense	target	test7	x	target	1	0.725
UnsupervisedDense	target	test2	x	target	1	0.815
UnsupervisedDense	target	test16	x	target	1	0.848
UnsupervisedDense	target	test1	x	target	1	0.829
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.756
UnsupervisedDense	target	test10	x	target	1	0.727
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.649
UnsupervisedDense	target	test14	x	target	1	0.712
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.748
UnsupervisedDense	target	test15	x	target	1	0.645
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.668
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.713
UnsupervisedDense	target	test3	x	target	1	0.668
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.697
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.654
UnsupervisedDense	target	test12	x	target	1	0.635
UnsupervisedDense	nottarget	contr16	n	nottarget	1	1.018
UnsupervisedDense	target	test5	x	target	1	0.665
UnsupervisedDense	target	test4	x	target	1	0.663
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.700
UnsupervisedDense	target	test13	x	target	1	0.695
SupervisedSparse	nottarget	catch4	n	nottarget	1	4.464
SupervisedSparse	target	test7	x	target	1	1.864
SupervisedSparse	target	test4	x	target	1	1.012
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.932
SupervisedSparse	target	test2	x	target	1	0.918
SupervisedSparse	nottarget	contr4	n	nottarget	1	2.264
SupervisedSparse	target	test10	x	target	1	0.926
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.857
SupervisedSparse	target	test3	x	target	1	0.775
SupervisedSparse	target	test12	x	target	1	0.767
SupervisedSparse	target	test15	x	target	1	0.743
SupervisedSparse	nottarget	contr8	n	nottarget	1	0.658
SupervisedSparse	nottarget	contr9	n	nottarget	1	0.671
SupervisedSparse	target	test11	x	target	1	0.571
SupervisedSparse	nottarget	contr3	n	nottarget	1	0.629
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.812
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.778
SupervisedSparse	target	test9	x	target	1	0.732
SupervisedSparse	target	test13	x	target	1	0.879
SupervisedSparse	target	test1	x	target	1	0.706
SupervisedSparse	nottarget	contr10	n	nottarget	1	0.591
SupervisedSparse	nottarget	contr14	n	nottarget	1	0.632
SupervisedSparse	target	test8	x	target	1	0.638
SupervisedSparse	target	test16	x	target	1	0.693
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.634
SupervisedSparse	nottarget	catch8	n	nottarget	1	0.752
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.730
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.677
SupervisedSparse	target	test14	x	target	1	0.657
SupervisedSparse	nottarget	contr15	n	nottarget	1	0.735
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.641
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.639
SupervisedSparse	nottarget	contr2	n	nottarget	1	0.678
SupervisedSparse	nottarget	contr7	n	nottarget	1	0.619
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.618
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.673
SupervisedSparse	target	test6	x	target	1	0.638
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.595
SupervisedSparse	target	test5	x	target	1	0.557
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.583
