Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedDense	nottarget	catch8	None	None	0	9999.000
SupervisedDense	target	test12	None	None	0	9999.000
SupervisedDense	nottarget	contr5	n	nottarget	1	1.662
SupervisedDense	target	test14	x	target	1	2.163
SupervisedDense	nottarget	contr12	n	nottarget	1	1.553
SupervisedDense	target	test13	x	target	1	1.787
SupervisedDense	nottarget	contr1	n	nottarget	1	0.889
SupervisedDense	target	test8	x	target	1	0.870
SupervisedDense	nottarget	catch1	n	nottarget	1	1.114
SupervisedDense	nottarget	contr8	n	nottarget	1	1.469
SupervisedDense	target	test16	x	target	1	1.097
SupervisedDense	nottarget	contr9	n	nottarget	1	0.725
SupervisedDense	nottarget	contr3	n	nottarget	1	0.617
SupervisedDense	nottarget	catch5	n	nottarget	1	0.487
SupervisedDense	nottarget	contr4	n	nottarget	1	0.460
SupervisedDense	target	test6	x	target	1	0.626
SupervisedDense	nottarget	catch4	n	nottarget	1	0.568
SupervisedDense	nottarget	contr2	n	nottarget	1	0.907
SupervisedDense	target	test10	x	target	1	0.549
SupervisedDense	target	test1	n	nottarget	0	1.735
SupervisedDense	nottarget	contr6	n	nottarget	1	0.650
SupervisedDense	target	test2	n	nottarget	0	0.943
SupervisedDense	nottarget	catch3	n	nottarget	1	1.385
SupervisedDense	target	test7	x	target	1	0.521
SupervisedDense	target	test11	n	nottarget	0	0.708
SupervisedDense	target	test3	x	target	1	0.536
SupervisedDense	nottarget	catch7	n	nottarget	1	0.475
SupervisedDense	target	test9	x	target	1	0.559
SupervisedDense	nottarget	contr16	n	nottarget	1	0.370
SupervisedDense	target	test5	x	target	1	0.442
SupervisedDense	nottarget	catch6	n	nottarget	1	0.514
SupervisedDense	target	test4	n	nottarget	0	0.717
SupervisedDense	nottarget	contr14	n	nottarget	1	0.880
SupervisedDense	nottarget	contr15	n	nottarget	1	0.446
SupervisedDense	nottarget	contr7	n	nottarget	1	0.451
SupervisedDense	nottarget	contr13	n	nottarget	1	0.306
SupervisedDense	nottarget	catch2	n	nottarget	1	0.453
SupervisedDense	nottarget	contr10	n	nottarget	1	0.364
SupervisedDense	nottarget	contr11	n	nottarget	1	0.341
SupervisedDense	target	test15	n	nottarget	0	0.793
UnsupervisedDense	target	test3	x	target	1	1.540
UnsupervisedDense	nottarget	contr13	n	nottarget	1	2.114
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.831
UnsupervisedDense	target	test16	x	target	1	1.054
UnsupervisedDense	target	test6	x	target	1	0.779
UnsupervisedDense	target	test9	x	target	1	1.460
UnsupervisedDense	target	test4	x	target	1	0.513
UnsupervisedDense	target	test2	x	target	1	0.857
UnsupervisedDense	nottarget	contr10	n	nottarget	1	0.622
UnsupervisedDense	nottarget	catch8	n	nottarget	1	1.918
UnsupervisedDense	nottarget	contr15	n	nottarget	1	1.887
UnsupervisedDense	nottarget	contr4	x	target	0	3.650
UnsupervisedDense	nottarget	contr11	x	target	0	1.052
UnsupervisedDense	target	test15	x	target	1	0.650
UnsupervisedDense	nottarget	catch2	n	nottarget	1	2.119
UnsupervisedDense	nottarget	catch6	n	nottarget	1	1.993
UnsupervisedDense	target	test14	x	target	1	0.872
UnsupervisedDense	nottarget	catch3	x	target	0	1.612
UnsupervisedDense	nottarget	contr7	n	nottarget	1	1.090
UnsupervisedDense	nottarget	catch7	x	target	0	3.190
UnsupervisedDense	nottarget	contr2	n	nottarget	1	1.227
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.481
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.510
UnsupervisedDense	target	test7	x	target	1	0.650
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.728
UnsupervisedDense	target	test1	x	target	1	0.595
UnsupervisedDense	target	test5	x	target	1	0.739
UnsupervisedDense	target	test8	x	target	1	0.855
UnsupervisedDense	target	test11	x	target	1	0.756
UnsupervisedDense	nottarget	catch1	x	target	0	0.725
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.560
UnsupervisedDense	target	test13	x	target	1	0.570
UnsupervisedDense	target	test10	x	target	1	0.570
UnsupervisedDense	nottarget	catch5	x	target	0	0.812
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.819
UnsupervisedDense	target	test12	x	target	1	1.657
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.735
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.697
UnsupervisedDense	nottarget	catch4	x	target	0	2.933
UnsupervisedDense	nottarget	contr9	n	nottarget	1	1.181
