Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedSparse	nottarget	contr8	n	nottarget	1	2.499
SupervisedSparse	nottarget	catch6	None	None	0	9999.000
SupervisedSparse	target	test12	x	target	1	1.201
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.999
SupervisedSparse	target	test8	x	target	1	0.728
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.636
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.810
SupervisedSparse	target	test10	x	target	1	0.617
SupervisedSparse	target	test5	x	target	1	2.176
SupervisedSparse	nottarget	contr7	n	nottarget	1	0.655
SupervisedSparse	target	test1	x	target	1	0.581
SupervisedSparse	target	test14	x	target	1	0.685
SupervisedSparse	target	test11	x	target	1	2.466
SupervisedSparse	target	test13	x	target	1	1.437
SupervisedSparse	target	test15	n	nottarget	0	1.658
SupervisedSparse	nottarget	contr14	n	nottarget	1	0.663
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.812
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.533
SupervisedSparse	target	test3	x	target	1	0.535
SupervisedSparse	nottarget	contr10	n	nottarget	1	0.625
SupervisedSparse	target	test6	x	target	1	0.546
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.540
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.550
SupervisedSparse	nottarget	contr4	n	nottarget	1	0.512
SupervisedSparse	nottarget	contr2	n	nottarget	1	0.395
SupervisedSparse	nottarget	contr9	n	nottarget	1	0.430
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.436
SupervisedSparse	nottarget	contr3	n	nottarget	1	0.371
SupervisedSparse	target	test7	n	nottarget	0	1.029
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.515
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.405
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.374
SupervisedSparse	nottarget	catch8	n	nottarget	1	0.416
SupervisedSparse	target	test4	n	nottarget	0	0.896
SupervisedSparse	target	test9	None	None	0	9999.000
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.574
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.623
SupervisedSparse	target	test16	x	target	1	0.647
SupervisedSparse	nottarget	contr15	n	nottarget	1	0.525
SupervisedSparse	target	test2	n	nottarget	0	0.680
UnsupervisedDense	target	test12	x	target	1	3.235
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.974
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.599
UnsupervisedDense	target	test11	x	target	1	0.536
UnsupervisedDense	target	test3	x	target	1	0.810
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.922
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.540
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.442
UnsupervisedDense	target	test8	x	target	1	0.529
UnsupervisedDense	target	test13	x	target	1	0.872
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.585
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.922
UnsupervisedDense	target	test7	x	target	1	0.565
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.494
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.515
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.408
UnsupervisedDense	target	test14	x	target	1	0.424
UnsupervisedDense	target	test2	x	target	1	0.455
UnsupervisedDense	nottarget	contr2	n	nottarget	1	0.437
UnsupervisedDense	target	test1	x	target	1	0.548
UnsupervisedDense	target	test15	n	nottarget	0	0.838
UnsupervisedDense	nottarget	contr1	n	nottarget	1	1.605
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.530
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.477
UnsupervisedDense	target	test16	x	target	1	0.450
UnsupervisedDense	target	test6	x	target	1	0.402
UnsupervisedDense	nottarget	catch4	None	None	0	9999.000
UnsupervisedDense	target	test4	x	target	1	0.508
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.632
UnsupervisedDense	target	test5	x	target	1	0.512
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.579
UnsupervisedDense	target	test9	x	target	1	0.461
UnsupervisedDense	nottarget	contr10	n	nottarget	1	0.482
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.552
UnsupervisedDense	nottarget	contr4	n	nottarget	1	0.481
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.478
UnsupervisedDense	target	test10	x	target	1	0.517
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.551
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.426
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.505
