Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedDense	nottarget	contr7	n	nottarget	1	2.040
SupervisedDense	target	test4	x	target	1	1.526
SupervisedDense	target	test11	x	target	1	1.422
SupervisedDense	target	test7	x	target	1	1.708
SupervisedDense	nottarget	contr5	n	nottarget	1	1.069
SupervisedDense	nottarget	contr12	n	nottarget	1	1.016
SupervisedDense	target	test13	x	target	1	1.024
SupervisedDense	nottarget	contr11	n	nottarget	1	0.943
SupervisedDense	target	test8	x	target	1	1.096
SupervisedDense	target	test2	x	target	1	1.572
SupervisedDense	nottarget	catch4	n	nottarget	1	1.180
SupervisedDense	nottarget	catch6	n	nottarget	1	1.164
SupervisedDense	nottarget	catch8	n	nottarget	1	1.517
SupervisedDense	target	test15	x	target	1	1.812
SupervisedDense	nottarget	catch5	n	nottarget	1	0.915
SupervisedDense	target	test16	x	target	1	0.846
SupervisedDense	nottarget	contr1	n	nottarget	1	0.971
SupervisedDense	nottarget	catch1	n	nottarget	1	0.996
SupervisedDense	nottarget	contr4	n	nottarget	1	0.956
SupervisedDense	target	test6	x	target	1	0.814
SupervisedDense	nottarget	catch7	n	nottarget	1	0.836
SupervisedDense	nottarget	contr15	n	nottarget	1	0.923
SupervisedDense	nottarget	contr9	n	nottarget	1	0.806
SupervisedDense	target	test1	x	target	1	0.852
SupervisedDense	nottarget	contr14	n	nottarget	1	0.683
SupervisedDense	nottarget	contr10	n	nottarget	1	0.871
SupervisedDense	target	test12	x	target	1	0.780
SupervisedDense	nottarget	contr2	n	nottarget	1	0.965
SupervisedDense	nottarget	contr6	n	nottarget	1	1.758
SupervisedDense	target	test9	x	target	1	0.854
SupervisedDense	target	test5	x	target	1	0.699
SupervisedDense	target	test10	x	target	1	0.647
SupervisedDense	target	test3	x	target	1	0.612
SupervisedDense	nottarget	catch2	n	nottarget	1	0.716
SupervisedDense	nottarget	contr16	n	nottarget	1	1.144
SupervisedDense	nottarget	catch3	n	nottarget	1	0.818
SupervisedDense	nottarget	contr8	n	nottarget	1	0.712
SupervisedDense	nottarget	contr13	n	nottarget	1	0.628
SupervisedDense	nottarget	contr3	n	nottarget	1	0.635
SupervisedDense	target	test14	x	target	1	0.608
UnsupervisedDense	nottarget	contr16	n	nottarget	1	1.647
UnsupervisedDense	nottarget	contr9	n	nottarget	1	2.532
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.830
UnsupervisedDense	nottarget	catch7	None	None	0	9999.000
UnsupervisedDense	nottarget	contr15	x	target	0	4.124
UnsupervisedDense	target	test6	x	target	1	1.042
UnsupervisedDense	target	test9	x	target	1	0.648
UnsupervisedDense	target	test4	x	target	1	0.459
UnsupervisedDense	nottarget	contr11	x	target	0	0.727
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.705
UnsupervisedDense	target	test12	x	target	1	0.605
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.597
UnsupervisedDense	target	test13	x	target	1	0.597
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.477
UnsupervisedDense	nottarget	contr10	x	target	0	0.442
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.383
UnsupervisedDense	nottarget	contr1	x	target	0	0.385
UnsupervisedDense	target	test5	n	nottarget	0	0.497
UnsupervisedDense	nottarget	contr3	x	target	0	0.829
UnsupervisedDense	target	test7	x	target	1	0.485
UnsupervisedDense	nottarget	contr5	x	target	0	0.570
UnsupervisedDense	nottarget	contr6	x	target	0	0.514
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.582
UnsupervisedDense	nottarget	contr12	x	target	0	0.455
UnsupervisedDense	target	test10	x	target	1	1.061
UnsupervisedDense	target	test15	x	target	1	1.683
UnsupervisedDense	target	test16	x	target	1	0.629
UnsupervisedDense	target	test2	x	target	1	0.885
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.616
UnsupervisedDense	target	test8	x	target	1	0.575
UnsupervisedDense	nottarget	contr13	None	None	0	9999.000
UnsupervisedDense	target	test3	x	target	1	0.907
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.704
UnsupervisedDense	nottarget	contr4	x	target	0	0.515
UnsupervisedDense	target	test1	x	target	1	0.630
UnsupervisedDense	nottarget	contr7	x	target	0	0.566
UnsupervisedDense	target	test14	x	target	1	0.567
UnsupervisedDense	nottarget	contr8	x	target	0	0.568
UnsupervisedDense	nottarget	contr2	x	target	0	0.546
UnsupervisedDense	target	test11	x	target	1	0.677
