Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedDense	nottarget	contr15	n	nottarget	1	4.889
SupervisedDense	target	test12	x	target	1	1.225
SupervisedDense	target	test5	x	target	1	1.214
SupervisedDense	target	test14	x	target	1	0.869
SupervisedDense	nottarget	contr7	n	nottarget	1	0.882
SupervisedDense	nottarget	contr3	n	nottarget	1	0.638
SupervisedDense	nottarget	catch2	n	nottarget	1	0.798
SupervisedDense	target	test8	x	target	1	0.893
SupervisedDense	target	test16	x	target	1	0.593
SupervisedDense	nottarget	catch5	n	nottarget	1	0.715
SupervisedDense	nottarget	contr8	n	nottarget	1	0.743
SupervisedDense	target	test11	x	target	1	0.624
SupervisedDense	nottarget	contr10	n	nottarget	1	0.767
SupervisedDense	target	test15	x	target	1	0.505
SupervisedDense	nottarget	contr13	n	nottarget	1	0.500
SupervisedDense	target	test7	x	target	1	0.463
SupervisedDense	nottarget	catch4	n	nottarget	1	0.438
SupervisedDense	target	test6	x	target	1	0.493
SupervisedDense	nottarget	contr4	n	nottarget	1	0.458
SupervisedDense	target	test2	x	target	1	0.447
SupervisedDense	nottarget	contr12	n	nottarget	1	0.366
SupervisedDense	target	test13	x	target	1	0.407
SupervisedDense	target	test3	x	target	1	0.512
SupervisedDense	nottarget	catch3	n	nottarget	1	0.453
SupervisedDense	target	test1	x	target	1	0.435
SupervisedDense	nottarget	catch7	n	nottarget	1	0.457
SupervisedDense	target	test4	x	target	1	0.454
SupervisedDense	target	test10	x	target	1	0.397
SupervisedDense	nottarget	contr14	n	nottarget	1	0.381
SupervisedDense	nottarget	contr6	n	nottarget	1	0.398
SupervisedDense	nottarget	contr11	n	nottarget	1	0.392
SupervisedDense	nottarget	catch8	n	nottarget	1	0.440
SupervisedDense	nottarget	catch6	n	nottarget	1	0.367
SupervisedDense	nottarget	contr1	n	nottarget	1	0.480
SupervisedDense	nottarget	contr2	n	nottarget	1	0.317
SupervisedDense	target	test9	x	target	1	0.505
SupervisedDense	nottarget	contr16	n	nottarget	1	1.126
SupervisedDense	nottarget	catch1	n	nottarget	1	0.536
SupervisedDense	nottarget	contr9	n	nottarget	1	0.379
SupervisedDense	nottarget	contr5	n	nottarget	1	0.331
UnsupervisedDense	target	test15	x	target	1	1.650
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.721
UnsupervisedDense	target	test5	x	target	1	0.755
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.886
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.520
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.669
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.426
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.363
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.351
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.416
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.344
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.411
UnsupervisedDense	nottarget	contr10	n	nottarget	1	0.283
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.304
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.468
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.449
UnsupervisedDense	nottarget	contr4	n	nottarget	1	0.383
UnsupervisedDense	target	test10	n	nottarget	0	0.256
UnsupervisedDense	target	test1	x	target	1	0.550
UnsupervisedDense	target	test3	x	target	1	0.408
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.392
UnsupervisedDense	target	test14	x	target	1	0.697
UnsupervisedDense	nottarget	contr2	n	nottarget	1	0.365
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.399
UnsupervisedDense	target	test7	x	target	1	0.831
UnsupervisedDense	target	test11	x	target	1	0.431
UnsupervisedDense	target	test4	x	target	1	0.421
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.438
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.325
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.400
UnsupervisedDense	target	test9	x	target	1	0.664
UnsupervisedDense	target	test12	x	target	1	0.318
UnsupervisedDense	target	test6	x	target	1	0.361
UnsupervisedDense	target	test8	x	target	1	0.435
UnsupervisedDense	target	test2	x	target	1	0.378
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.435
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.353
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.476
UnsupervisedDense	target	test13	x	target	1	0.690
UnsupervisedDense	target	test16	x	target	1	1.301
