Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedDense	nottarget	catch7	n	nottarget	1	1.484
SupervisedDense	target	test5	x	target	1	0.895
SupervisedDense	nottarget	contr13	n	nottarget	1	0.987
SupervisedDense	nottarget	catch1	n	nottarget	1	1.122
SupervisedDense	target	test3	x	target	1	0.652
SupervisedDense	target	test15	x	target	1	0.810
SupervisedDense	nottarget	catch4	n	nottarget	1	1.258
SupervisedDense	nottarget	contr7	n	nottarget	1	0.854
SupervisedDense	target	test2	x	target	1	0.563
SupervisedDense	nottarget	contr14	n	nottarget	1	0.773
SupervisedDense	target	test11	x	target	1	0.998
SupervisedDense	target	test12	x	target	1	0.775
SupervisedDense	nottarget	contr3	n	nottarget	1	0.591
SupervisedDense	target	test14	x	target	1	0.568
SupervisedDense	target	test13	x	target	1	1.168
SupervisedDense	nottarget	catch8	n	nottarget	1	0.600
SupervisedDense	target	test10	x	target	1	0.968
SupervisedDense	nottarget	catch5	n	nottarget	1	0.512
SupervisedDense	nottarget	contr2	n	nottarget	1	0.574
SupervisedDense	nottarget	contr12	n	nottarget	1	0.471
SupervisedDense	nottarget	contr8	n	nottarget	1	0.540
SupervisedDense	nottarget	contr9	n	nottarget	1	0.591
SupervisedDense	nottarget	contr15	n	nottarget	1	0.606
SupervisedDense	target	test9	x	target	1	0.487
SupervisedDense	nottarget	contr16	n	nottarget	1	0.467
SupervisedDense	nottarget	catch6	n	nottarget	1	0.480
SupervisedDense	nottarget	contr6	n	nottarget	1	0.438
SupervisedDense	target	test4	x	target	1	0.477
SupervisedDense	nottarget	catch3	n	nottarget	1	0.513
SupervisedDense	nottarget	contr5	n	nottarget	1	0.438
SupervisedDense	target	test6	x	target	1	0.444
SupervisedDense	nottarget	contr1	n	nottarget	1	0.667
SupervisedDense	target	test1	x	target	1	0.552
SupervisedDense	nottarget	catch2	n	nottarget	1	0.490
SupervisedDense	nottarget	contr11	n	nottarget	1	0.527
SupervisedDense	nottarget	contr10	n	nottarget	1	0.466
SupervisedDense	target	test16	x	target	1	0.384
SupervisedDense	target	test7	x	target	1	0.418
SupervisedDense	nottarget	contr4	n	nottarget	1	0.449
SupervisedDense	target	test8	x	target	1	0.423
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.759
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.449
UnsupervisedDense	target	test8	x	target	1	0.639
UnsupervisedDense	nottarget	contr4	x	target	0	2.733
UnsupervisedDense	target	test3	x	target	1	0.828
UnsupervisedDense	nottarget	contr7	n	nottarget	1	2.347
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.779
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.744
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.753
UnsupervisedDense	target	test11	x	target	1	0.883
UnsupervisedDense	nottarget	contr10	n	nottarget	1	0.513
UnsupervisedDense	target	test15	x	target	1	0.611
UnsupervisedDense	target	test6	x	target	1	0.588
UnsupervisedDense	target	test2	x	target	1	0.853
UnsupervisedDense	target	test13	x	target	1	0.529
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.484
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.354
UnsupervisedDense	target	test1	x	target	1	0.468
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.512
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.668
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.545
UnsupervisedDense	target	test7	x	target	1	0.572
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.444
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.524
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.558
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.416
UnsupervisedDense	target	test14	x	target	1	0.584
UnsupervisedDense	target	test4	x	target	1	0.529
UnsupervisedDense	nottarget	contr3	n	nottarget	1	1.524
UnsupervisedDense	target	test9	x	target	1	0.875
UnsupervisedDense	target	test5	x	target	1	0.424
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.415
UnsupervisedDense	target	test12	n	nottarget	0	0.367
UnsupervisedDense	nottarget	contr2	n	nottarget	1	0.552
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.634
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.480
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.662
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.900
UnsupervisedDense	target	test10	x	target	1	0.400
UnsupervisedDense	target	test16	x	target	1	0.520
