Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedSparse	target	test7	None	None	0	9999.000
SupervisedSparse	target	test16	n	nottarget	0	1.128
SupervisedSparse	nottarget	catch8	n	nottarget	1	2.347
SupervisedSparse	target	test8	x	target	1	1.066
SupervisedSparse	nottarget	contr9	x	target	0	2.936
SupervisedSparse	target	test5	n	nottarget	0	3.630
SupervisedSparse	nottarget	contr7	n	nottarget	1	1.000
SupervisedSparse	target	test9	x	target	1	0.729
SupervisedSparse	nottarget	contr12	n	nottarget	1	2.356
SupervisedSparse	target	test3	n	nottarget	0	3.466
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.892
SupervisedSparse	target	test1	x	target	1	0.735
SupervisedSparse	target	test4	x	target	1	0.681
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.686
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.522
SupervisedSparse	nottarget	catch3	x	target	0	0.876
SupervisedSparse	nottarget	catch1	n	nottarget	1	1.576
SupervisedSparse	nottarget	contr10	n	nottarget	1	0.880
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.780
SupervisedSparse	target	test10	x	target	1	1.165
SupervisedSparse	nottarget	contr15	x	target	0	0.001
SupervisedSparse	target	test15	x	target	1	3.375
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.891
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.759
SupervisedSparse	target	test13	x	target	1	2.304
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.945
SupervisedSparse	nottarget	catch2	x	target	0	0.660
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.488
SupervisedSparse	nottarget	contr8	n	nottarget	1	0.973
SupervisedSparse	nottarget	catch4	x	target	0	0.662
SupervisedSparse	nottarget	contr3	n	nottarget	1	0.739
SupervisedSparse	target	test6	x	target	1	0.550
SupervisedSparse	target	test14	x	target	1	0.656
SupervisedSparse	nottarget	contr14	n	nottarget	1	0.462
SupervisedSparse	target	test2	x	target	1	0.867
SupervisedSparse	target	test11	x	target	1	0.682
SupervisedSparse	nottarget	contr2	n	nottarget	1	0.493
SupervisedSparse	nottarget	contr4	n	nottarget	1	0.594
SupervisedSparse	target	test12	x	target	1	0.578
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.692
UnsupervisedDense	target	test2	x	target	1	0.939
UnsupervisedDense	nottarget	contr3	n	nottarget	1	1.038
UnsupervisedDense	target	test12	x	target	1	0.677
UnsupervisedDense	target	test13	x	target	1	0.850
UnsupervisedDense	target	test3	x	target	1	0.720
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.786
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.554
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.601
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.519
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.627
UnsupervisedDense	nottarget	contr4	n	nottarget	1	0.530
UnsupervisedDense	target	test11	x	target	1	0.484
UnsupervisedDense	target	test6	x	target	1	0.491
UnsupervisedDense	nottarget	contr10	n	nottarget	1	0.478
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.371
UnsupervisedDense	target	test15	x	target	1	0.477
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.459
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.568
UnsupervisedDense	target	test5	x	target	1	0.489
UnsupervisedDense	target	test14	x	target	1	0.551
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.577
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.433
UnsupervisedDense	target	test9	x	target	1	0.465
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.534
UnsupervisedDense	target	test10	x	target	1	0.489
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.485
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.683
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.535
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.411
UnsupervisedDense	target	test8	x	target	1	0.458
UnsupervisedDense	target	test16	x	target	1	0.512
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.412
UnsupervisedDense	target	test1	x	target	1	0.453
UnsupervisedDense	nottarget	contr2	n	nottarget	1	0.498
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.454
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.461
UnsupervisedDense	target	test4	x	target	1	0.387
UnsupervisedDense	target	test7	n	nottarget	0	0.348
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.501
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.705
