Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
UnsupervisedSparse	nottarget	contr4	None	None	0	9999.000
UnsupervisedSparse	nottarget	catch7	x	target	0	2.996
UnsupervisedSparse	target	test13	n	nottarget	0	2.915
UnsupervisedSparse	nottarget	contr2	n	nottarget	1	2.083
UnsupervisedSparse	nottarget	contr13	x	target	0	1.381
UnsupervisedSparse	target	test2	x	target	1	2.174
UnsupervisedSparse	target	test5	n	nottarget	0	2.509
UnsupervisedSparse	target	test6	x	target	1	1.591
UnsupervisedSparse	nottarget	contr3	x	target	0	2.565
UnsupervisedSparse	nottarget	contr14	n	nottarget	1	1.787
UnsupervisedSparse	target	test16	n	nottarget	0	1.473
UnsupervisedSparse	nottarget	contr11	n	nottarget	1	4.309
UnsupervisedSparse	target	test8	x	target	1	2.860
UnsupervisedSparse	nottarget	contr5	x	target	0	0.646
UnsupervisedSparse	nottarget	contr1	n	nottarget	1	0.869
UnsupervisedSparse	nottarget	contr7	x	target	0	1.025
UnsupervisedSparse	target	test15	n	nottarget	0	0.608
UnsupervisedSparse	nottarget	contr6	x	target	0	0.633
UnsupervisedSparse	nottarget	contr16	x	target	0	0.575
UnsupervisedSparse	nottarget	catch1	None	None	0	9999.000
UnsupervisedSparse	nottarget	catch8	n	nottarget	1	0.001
UnsupervisedSparse	nottarget	catch3	n	nottarget	1	1.028
UnsupervisedSparse	nottarget	catch2	n	nottarget	1	1.546
UnsupervisedSparse	target	test9	x	target	1	1.450
UnsupervisedSparse	target	test14	x	target	1	2.430
UnsupervisedSparse	target	test10	x	target	1	2.267
UnsupervisedSparse	target	test12	x	target	1	1.255
UnsupervisedSparse	nottarget	contr9	x	target	0	1.299
UnsupervisedSparse	nottarget	catch4	n	nottarget	1	0.958
UnsupervisedSparse	target	test11	x	target	1	1.288
UnsupervisedSparse	nottarget	contr12	x	target	0	1.259
UnsupervisedSparse	nottarget	contr10	x	target	0	0.713
UnsupervisedSparse	nottarget	contr15	x	target	0	0.756
UnsupervisedSparse	nottarget	catch5	n	nottarget	1	0.861
UnsupervisedSparse	nottarget	catch6	n	nottarget	1	0.780
UnsupervisedSparse	target	test1	x	target	1	1.045
UnsupervisedSparse	target	test3	n	nottarget	0	2.602
UnsupervisedSparse	nottarget	contr8	n	nottarget	1	1.848
UnsupervisedSparse	target	test4	x	target	1	1.829
UnsupervisedSparse	target	test7	x	target	1	2.050
SupervisedSparse	nottarget	contr7	n	nottarget	1	2.432
SupervisedSparse	nottarget	contr9	n	nottarget	1	1.998
SupervisedSparse	target	test14	x	target	1	2.675
SupervisedSparse	nottarget	contr3	n	nottarget	1	1.926
SupervisedSparse	nottarget	contr11	n	nottarget	1	1.581
SupervisedSparse	nottarget	catch8	n	nottarget	1	1.341
SupervisedSparse	nottarget	contr4	n	nottarget	1	1.030
SupervisedSparse	nottarget	contr15	n	nottarget	1	0.724
SupervisedSparse	target	test12	x	target	1	1.127
SupervisedSparse	target	test9	x	target	1	0.809
SupervisedSparse	nottarget	contr14	n	nottarget	1	0.885
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.634
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.592
SupervisedSparse	nottarget	contr8	n	nottarget	1	0.720
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.699
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.583
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.415
SupervisedSparse	target	test11	x	target	1	0.528
SupervisedSparse	nottarget	contr10	n	nottarget	1	0.530
SupervisedSparse	target	test4	x	target	1	0.463
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.597
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.605
SupervisedSparse	target	test13	x	target	1	0.725
SupervisedSparse	target	test16	x	target	1	0.406
SupervisedSparse	nottarget	catch5	n	nottarget	1	1.304
SupervisedSparse	target	test7	x	target	1	1.387
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.618
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.488
SupervisedSparse	target	test10	x	target	1	1.621
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.443
SupervisedSparse	target	test3	x	target	1	1.274
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.646
SupervisedSparse	target	test15	x	target	1	1.109
SupervisedSparse	target	test6	x	target	1	0.655
SupervisedSparse	target	test2	x	target	1	0.701
SupervisedSparse	target	test8	x	target	1	0.697
SupervisedSparse	nottarget	contr2	n	nottarget	1	0.573
SupervisedSparse	target	test5	x	target	1	0.542
SupervisedSparse	target	test1	x	target	1	0.425
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.504
