Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
UnsupervisedDense	nottarget	contr3	n	nottarget	1	2.986
UnsupervisedDense	nottarget	contr14	n	nottarget	1	2.209
UnsupervisedDense	nottarget	contr1	n	nottarget	1	1.925
UnsupervisedDense	nottarget	contr8	n	nottarget	1	1.055
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.637
UnsupervisedDense	target	test11	x	target	1	3.243
UnsupervisedDense	target	test5	x	target	1	0.718
UnsupervisedDense	nottarget	contr12	n	nottarget	1	1.073
UnsupervisedDense	nottarget	contr7	n	nottarget	1	1.214
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.605
UnsupervisedDense	target	test9	x	target	1	1.692
UnsupervisedDense	nottarget	catch7	n	nottarget	1	2.567
UnsupervisedDense	target	test1	x	target	1	3.213
UnsupervisedDense	target	test4	x	target	1	2.058
UnsupervisedDense	target	test16	None	None	0	9999.000
UnsupervisedDense	nottarget	catch3	x	target	0	0.001
UnsupervisedDense	target	test10	x	target	1	1.049
UnsupervisedDense	nottarget	catch1	n	nottarget	1	1.615
UnsupervisedDense	nottarget	contr2	n	nottarget	1	1.790
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.588
UnsupervisedDense	target	test3	x	target	1	1.269
UnsupervisedDense	target	test13	x	target	1	2.167
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.774
UnsupervisedDense	nottarget	contr4	n	nottarget	1	0.592
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.528
UnsupervisedDense	target	test14	x	target	1	0.819
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.618
UnsupervisedDense	target	test6	None	None	0	9999.000
UnsupervisedDense	target	test2	x	target	1	1.380
UnsupervisedDense	target	test7	x	target	1	0.542
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.727
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.641
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.416
UnsupervisedDense	target	test12	x	target	1	1.288
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.788
UnsupervisedDense	target	test15	x	target	1	2.956
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.787
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.987
UnsupervisedDense	target	test8	x	target	1	0.955
UnsupervisedDense	nottarget	contr10	n	nottarget	1	1.147
SupervisedDense	target	test7	x	target	1	3.156
SupervisedDense	target	test15	n	nottarget	0	3.842
SupervisedDense	target	test14	x	target	1	3.245
SupervisedDense	nottarget	contr16	n	nottarget	1	1.022
SupervisedDense	nottarget	catch2	n	nottarget	1	0.772
SupervisedDense	nottarget	contr10	n	nottarget	1	0.726
SupervisedDense	nottarget	contr6	n	nottarget	1	0.365
SupervisedDense	nottarget	contr15	n	nottarget	1	0.374
SupervisedDense	nottarget	contr4	n	nottarget	1	0.424
SupervisedDense	nottarget	contr1	n	nottarget	1	0.430
SupervisedDense	nottarget	catch3	n	nottarget	1	0.606
SupervisedDense	nottarget	contr11	n	nottarget	1	0.391
SupervisedDense	nottarget	catch1	n	nottarget	1	0.391
SupervisedDense	target	test1	x	target	1	1.672
SupervisedDense	target	test9	x	target	1	2.825
SupervisedDense	nottarget	catch7	n	nottarget	1	1.725
SupervisedDense	target	test2	x	target	1	2.516
SupervisedDense	target	test5	x	target	1	1.668
SupervisedDense	nottarget	contr13	n	nottarget	1	1.119
SupervisedDense	nottarget	contr3	n	nottarget	1	0.434
SupervisedDense	nottarget	contr5	n	nottarget	1	0.320
SupervisedDense	target	test8	x	target	1	1.277
SupervisedDense	target	test4	x	target	1	1.992
SupervisedDense	nottarget	contr9	n	nottarget	1	0.702
SupervisedDense	nottarget	catch5	n	nottarget	1	0.451
SupervisedDense	target	test16	x	target	1	1.200
SupervisedDense	nottarget	contr8	n	nottarget	1	0.543
SupervisedDense	nottarget	contr12	n	nottarget	1	0.386
SupervisedDense	nottarget	contr14	n	nottarget	1	0.307
SupervisedDense	nottarget	contr2	n	nottarget	1	0.279
SupervisedDense	nottarget	contr7	n	nottarget	1	0.252
SupervisedDense	target	test11	x	target	1	4.443
SupervisedDense	target	test12	x	target	1	0.797
SupervisedDense	target	test6	x	target	1	0.925
SupervisedDense	target	test3	x	target	1	1.422
SupervisedDense	nottarget	catch8	n	nottarget	1	0.533
SupervisedDense	target	test13	x	target	1	2.399
SupervisedDense	nottarget	catch6	n	nottarget	1	0.342
SupervisedDense	nottarget	catch4	n	nottarget	1	0.263
SupervisedDense	target	test10	x	target	1	0.982
