Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedSparse	target	test10	x	target	1	3.034
SupervisedSparse	nottarget	catch8	n	nottarget	1	1.383
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.958
SupervisedSparse	nottarget	contr14	n	nottarget	1	1.168
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.746
SupervisedSparse	nottarget	contr10	n	nottarget	1	0.667
SupervisedSparse	target	test8	x	target	1	0.497
SupervisedSparse	nottarget	contr8	n	nottarget	1	0.596
SupervisedSparse	target	test1	x	target	1	0.598
SupervisedSparse	nottarget	contr7	n	nottarget	1	0.710
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.954
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.722
SupervisedSparse	target	test15	x	target	1	0.526
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.673
SupervisedSparse	target	test2	x	target	1	0.773
SupervisedSparse	target	test4	x	target	1	0.535
SupervisedSparse	target	test14	x	target	1	0.593
SupervisedSparse	target	test7	x	target	1	0.465
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.615
SupervisedSparse	nottarget	contr2	n	nottarget	1	0.526
SupervisedSparse	nottarget	contr9	n	nottarget	1	0.435
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.433
SupervisedSparse	nottarget	contr4	n	nottarget	1	0.425
SupervisedSparse	target	test6	x	target	1	0.681
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.636
SupervisedSparse	target	test12	x	target	1	0.524
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.518
SupervisedSparse	target	test5	x	target	1	0.585
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.458
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.681
SupervisedSparse	target	test9	x	target	1	0.534
SupervisedSparse	nottarget	contr15	n	nottarget	1	0.943
SupervisedSparse	target	test11	x	target	1	0.690
SupervisedSparse	target	test13	x	target	1	0.647
SupervisedSparse	nottarget	contr3	n	nottarget	1	0.564
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.662
SupervisedSparse	target	test3	x	target	1	0.652
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.546
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.891
SupervisedSparse	target	test16	x	target	1	0.793
UnsupervisedSparse	target	test6	x	target	1	2.267
UnsupervisedSparse	target	test4	x	target	1	0.823
UnsupervisedSparse	nottarget	catch1	n	nottarget	1	1.056
UnsupervisedSparse	nottarget	contr6	x	target	0	0.716
UnsupervisedSparse	target	test11	x	target	1	1.192
UnsupervisedSparse	nottarget	contr11	n	nottarget	1	1.080
UnsupervisedSparse	target	test14	x	target	1	0.884
UnsupervisedSparse	nottarget	contr9	n	nottarget	1	1.181
UnsupervisedSparse	nottarget	catch7	n	nottarget	1	1.429
UnsupervisedSparse	target	test8	x	target	1	0.995
UnsupervisedSparse	nottarget	contr8	n	nottarget	1	1.397
UnsupervisedSparse	nottarget	contr10	n	nottarget	1	0.876
UnsupervisedSparse	target	test16	x	target	1	0.608
UnsupervisedSparse	target	test1	x	target	1	0.791
UnsupervisedSparse	target	test2	x	target	1	0.670
UnsupervisedSparse	nottarget	contr2	n	nottarget	1	0.646
UnsupervisedSparse	nottarget	contr14	n	nottarget	1	0.579
UnsupervisedSparse	target	test10	x	target	1	0.540
UnsupervisedSparse	nottarget	catch3	n	nottarget	1	0.784
UnsupervisedSparse	nottarget	catch4	n	nottarget	1	0.751
UnsupervisedSparse	nottarget	contr13	n	nottarget	1	1.251
UnsupervisedSparse	nottarget	catch6	n	nottarget	1	1.624
UnsupervisedSparse	nottarget	catch5	n	nottarget	1	0.966
UnsupervisedSparse	nottarget	contr7	n	nottarget	1	0.767
UnsupervisedSparse	target	test5	x	target	1	0.657
UnsupervisedSparse	nottarget	catch2	n	nottarget	1	0.583
UnsupervisedSparse	nottarget	contr1	n	nottarget	1	0.992
UnsupervisedSparse	target	test9	x	target	1	0.735
UnsupervisedSparse	target	test15	x	target	1	0.587
UnsupervisedSparse	nottarget	contr5	n	nottarget	1	0.643
UnsupervisedSparse	nottarget	contr15	n	nottarget	1	0.658
UnsupervisedSparse	nottarget	contr12	n	nottarget	1	0.680
UnsupervisedSparse	nottarget	contr16	n	nottarget	1	0.597
UnsupervisedSparse	target	test3	x	target	1	0.766
UnsupervisedSparse	nottarget	contr3	n	nottarget	1	0.942
UnsupervisedSparse	target	test12	x	target	1	1.202
UnsupervisedSparse	nottarget	contr4	n	nottarget	1	1.353
UnsupervisedSparse	target	test13	x	target	1	0.969
UnsupervisedSparse	target	test7	x	target	1	0.794
UnsupervisedSparse	nottarget	catch8	n	nottarget	1	0.659
