Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedSparse	target	test13	x	target	1	3.218
SupervisedSparse	target	test15	x	target	1	1.686
SupervisedSparse	target	test7	x	target	1	1.138
SupervisedSparse	target	test14	x	target	1	2.923
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.996
SupervisedSparse	target	test10	x	target	1	0.748
SupervisedSparse	target	test9	x	target	1	0.566
SupervisedSparse	nottarget	contr7	n	nottarget	1	0.599
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.880
SupervisedSparse	nottarget	contr6	x	target	0	1.605
SupervisedSparse	nottarget	contr9	n	nottarget	1	2.051
SupervisedSparse	target	test11	x	target	1	0.544
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.642
SupervisedSparse	nottarget	catch8	n	nottarget	1	0.577
SupervisedSparse	nottarget	contr3	n	nottarget	1	1.410
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.713
SupervisedSparse	nottarget	contr2	n	nottarget	1	0.988
SupervisedSparse	target	test1	x	target	1	0.652
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.666
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.750
SupervisedSparse	target	test5	x	target	1	0.826
SupervisedSparse	target	test4	x	target	1	3.480
SupervisedSparse	nottarget	contr14	n	nottarget	1	1.401
SupervisedSparse	target	test16	x	target	1	0.929
SupervisedSparse	target	test12	x	target	1	1.147
SupervisedSparse	nottarget	contr10	n	nottarget	1	2.733
SupervisedSparse	target	test8	x	target	1	0.987
SupervisedSparse	nottarget	contr4	n	nottarget	1	1.021
SupervisedSparse	target	test6	x	target	1	0.555
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.502
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.600
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.744
SupervisedSparse	nottarget	contr8	n	nottarget	1	1.203
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.689
SupervisedSparse	target	test2	x	target	1	1.150
SupervisedSparse	nottarget	contr15	n	nottarget	1	0.671
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.645
SupervisedSparse	target	test3	x	target	1	0.732
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.767
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.607
UnsupervisedSparse	nottarget	contr3	x	target	0	2.442
UnsupervisedSparse	target	test6	x	target	1	1.375
UnsupervisedSparse	nottarget	contr7	x	target	0	0.750
UnsupervisedSparse	nottarget	contr6	x	target	0	1.296
UnsupervisedSparse	target	test11	x	target	1	0.597
UnsupervisedSparse	target	test3	x	target	1	1.420
UnsupervisedSparse	nottarget	contr8	n	nottarget	1	1.788
UnsupervisedSparse	nottarget	contr16	n	nottarget	1	2.301
UnsupervisedSparse	target	test16	x	target	1	0.680
UnsupervisedSparse	nottarget	contr4	x	target	0	1.509
UnsupervisedSparse	target	test9	x	target	1	0.688
UnsupervisedSparse	nottarget	catch8	n	nottarget	1	0.877
UnsupervisedSparse	nottarget	contr11	x	target	0	0.930
UnsupervisedSparse	target	test2	x	target	1	0.749
UnsupervisedSparse	target	test4	x	target	1	0.582
UnsupervisedSparse	nottarget	catch7	n	nottarget	1	0.520
UnsupervisedSparse	nottarget	catch5	n	nottarget	1	0.596
UnsupervisedSparse	target	test1	x	target	1	0.597
UnsupervisedSparse	nottarget	contr1	n	nottarget	1	1.765
UnsupervisedSparse	nottarget	catch1	n	nottarget	1	1.198
UnsupervisedSparse	target	test13	x	target	1	1.117
UnsupervisedSparse	nottarget	contr12	x	target	0	1.111
UnsupervisedSparse	target	test14	x	target	1	0.667
UnsupervisedSparse	target	test5	x	target	1	0.647
UnsupervisedSparse	nottarget	contr9	x	target	0	2.526
UnsupervisedSparse	nottarget	catch3	n	nottarget	1	0.551
UnsupervisedSparse	target	test10	x	target	1	0.690
UnsupervisedSparse	nottarget	catch6	n	nottarget	1	0.590
UnsupervisedSparse	nottarget	contr15	x	target	0	1.495
UnsupervisedSparse	nottarget	contr10	x	target	0	0.747
UnsupervisedSparse	target	test8	x	target	1	1.158
UnsupervisedSparse	target	test15	x	target	1	0.558
UnsupervisedSparse	nottarget	contr14	x	target	0	1.280
UnsupervisedSparse	nottarget	contr5	x	target	0	1.301
UnsupervisedSparse	nottarget	contr13	x	target	0	0.695
UnsupervisedSparse	nottarget	catch2	n	nottarget	1	0.603
UnsupervisedSparse	nottarget	contr2	n	nottarget	1	1.403
UnsupervisedSparse	nottarget	catch4	n	nottarget	1	0.579
UnsupervisedSparse	target	test7	x	target	1	4.444
UnsupervisedSparse	target	test12	x	target	1	0.990
