Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
UnsupervisedDense	nottarget	catch6	None	None	0	9999.000
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.001
UnsupervisedDense	target	test9	x	target	1	1.106
UnsupervisedDense	nottarget	contr10	None	None	0	9999.000
UnsupervisedDense	target	test6	x	target	1	1.847
UnsupervisedDense	nottarget	contr13	n	nottarget	1	2.308
UnsupervisedDense	nottarget	contr6	x	target	0	1.182
UnsupervisedDense	nottarget	contr4	n	nottarget	1	1.183
UnsupervisedDense	target	test15	x	target	1	0.918
UnsupervisedDense	target	test13	x	target	1	0.906
UnsupervisedDense	target	test8	x	target	1	0.860
UnsupervisedDense	target	test11	x	target	1	0.434
UnsupervisedDense	target	test7	x	target	1	0.418
UnsupervisedDense	target	test1	x	target	1	0.505
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.549
UnsupervisedDense	nottarget	catch3	n	nottarget	1	1.030
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.644
UnsupervisedDense	nottarget	contr8	x	target	0	0.628
UnsupervisedDense	nottarget	catch4	n	nottarget	1	1.651
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.696
UnsupervisedDense	target	test3	x	target	1	0.580
UnsupervisedDense	nottarget	contr9	x	target	0	1.742
UnsupervisedDense	nottarget	contr12	x	target	0	2.527
UnsupervisedDense	nottarget	contr5	x	target	0	0.495
UnsupervisedDense	nottarget	contr3	n	nottarget	1	2.996
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.785
UnsupervisedDense	target	test10	x	target	1	0.466
UnsupervisedDense	nottarget	contr1	x	target	0	0.439
UnsupervisedDense	nottarget	contr2	x	target	0	0.621
UnsupervisedDense	target	test4	x	target	1	0.453
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.850
UnsupervisedDense	target	test2	x	target	1	0.488
UnsupervisedDense	nottarget	contr15	x	target	0	0.422
UnsupervisedDense	target	test16	x	target	1	0.364
UnsupervisedDense	nottarget	contr16	x	target	0	0.343
UnsupervisedDense	target	test12	x	target	1	0.321
UnsupervisedDense	target	test14	x	target	1	0.317
UnsupervisedDense	nottarget	contr11	n	nottarget	1	3.905
UnsupervisedDense	nottarget	contr14	n	nottarget	1	2.600
UnsupervisedDense	target	test5	x	target	1	0.501
SupervisedSparse	target	test4	x	target	1	3.691
SupervisedSparse	target	test16	x	target	1	0.884
SupervisedSparse	target	test15	x	target	1	0.873
SupervisedSparse	nottarget	contr10	n	nottarget	1	4.734
SupervisedSparse	target	test1	x	target	1	0.804
SupervisedSparse	nottarget	contr8	n	nottarget	1	0.475
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.436
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.387
SupervisedSparse	target	test5	x	target	1	0.452
SupervisedSparse	nottarget	catch8	n	nottarget	1	3.345
SupervisedSparse	nottarget	contr14	n	nottarget	1	1.520
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.362
SupervisedSparse	target	test2	x	target	1	0.460
SupervisedSparse	target	test14	x	target	1	0.354
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.533
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.319
SupervisedSparse	nottarget	contr4	n	nottarget	1	0.651
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.456
SupervisedSparse	target	test11	x	target	1	0.447
SupervisedSparse	nottarget	contr7	n	nottarget	1	0.678
SupervisedSparse	target	test3	x	target	1	0.442
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.505
SupervisedSparse	target	test7	x	target	1	0.349
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.551
SupervisedSparse	nottarget	contr2	n	nottarget	1	0.522
SupervisedSparse	nottarget	contr3	n	nottarget	1	0.684
SupervisedSparse	target	test12	x	target	1	0.553
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.610
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.531
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.255
SupervisedSparse	target	test13	x	target	1	0.453
SupervisedSparse	target	test9	x	target	1	0.491
SupervisedSparse	nottarget	contr15	n	nottarget	1	0.566
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.856
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.630
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.557
SupervisedSparse	target	test8	x	target	1	0.542
SupervisedSparse	target	test6	x	target	1	0.497
SupervisedSparse	nottarget	contr9	n	nottarget	1	0.589
SupervisedSparse	target	test10	x	target	1	0.647
