Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
UnsupervisedDense	nottarget	contr6	n	nottarget	1	1.457
UnsupervisedDense	target	test12	x	target	1	1.191
UnsupervisedDense	nottarget	catch2	n	nottarget	1	1.182
UnsupervisedDense	target	test9	x	target	1	1.501
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.814
UnsupervisedDense	target	test1	x	target	1	0.797
UnsupervisedDense	target	test10	x	target	1	1.379
UnsupervisedDense	target	test8	x	target	1	0.708
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.584
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.719
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.578
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.972
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.765
UnsupervisedDense	target	test3	x	target	1	1.221
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.693
UnsupervisedDense	nottarget	catch4	n	nottarget	1	1.081
UnsupervisedDense	nottarget	contr14	n	nottarget	1	1.109
UnsupervisedDense	target	test16	x	target	1	1.752
UnsupervisedDense	nottarget	contr2	n	nottarget	1	0.680
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.613
UnsupervisedDense	nottarget	contr4	n	nottarget	1	0.597
UnsupervisedDense	target	test15	x	target	1	0.589
UnsupervisedDense	target	test14	x	target	1	0.790
UnsupervisedDense	target	test6	x	target	1	1.047
UnsupervisedDense	target	test11	x	target	1	1.948
UnsupervisedDense	target	test7	x	target	1	0.485
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.482
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.469
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.667
UnsupervisedDense	target	test2	x	target	1	0.769
UnsupervisedDense	target	test5	x	target	1	0.488
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.677
UnsupervisedDense	nottarget	catch6	n	nottarget	1	1.329
UnsupervisedDense	nottarget	contr1	n	nottarget	1	1.221
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.419
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.489
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.430
UnsupervisedDense	target	test13	x	target	1	0.717
UnsupervisedDense	target	test4	x	target	1	0.328
UnsupervisedDense	nottarget	contr10	n	nottarget	1	0.941
SupervisedDense	nottarget	catch4	n	nottarget	1	2.152
SupervisedDense	nottarget	contr15	n	nottarget	1	0.993
SupervisedDense	target	test12	x	target	1	1.040
SupervisedDense	target	test5	x	target	1	0.831
SupervisedDense	nottarget	contr10	n	nottarget	1	1.180
SupervisedDense	nottarget	contr9	n	nottarget	1	0.882
SupervisedDense	target	test13	x	target	1	0.807
SupervisedDense	nottarget	contr8	n	nottarget	1	0.838
SupervisedDense	target	test9	x	target	1	0.812
SupervisedDense	nottarget	contr3	n	nottarget	1	0.722
SupervisedDense	nottarget	contr7	n	nottarget	1	0.405
SupervisedDense	nottarget	contr5	n	nottarget	1	0.630
SupervisedDense	nottarget	catch3	n	nottarget	1	0.573
SupervisedDense	target	test14	x	target	1	0.670
SupervisedDense	nottarget	contr2	n	nottarget	1	1.130
SupervisedDense	nottarget	catch1	n	nottarget	1	0.699
SupervisedDense	target	test4	x	target	1	0.671
SupervisedDense	nottarget	contr14	n	nottarget	1	0.940
SupervisedDense	nottarget	contr1	n	nottarget	1	0.472
SupervisedDense	nottarget	catch7	n	nottarget	1	0.668
SupervisedDense	nottarget	contr6	n	nottarget	1	1.160
SupervisedDense	nottarget	contr16	n	nottarget	1	0.418
SupervisedDense	target	test15	x	target	1	0.698
SupervisedDense	nottarget	catch5	n	nottarget	1	0.518
SupervisedDense	nottarget	catch8	n	nottarget	1	0.441
SupervisedDense	nottarget	contr13	n	nottarget	1	1.408
SupervisedDense	target	test3	x	target	1	0.534
SupervisedDense	nottarget	contr11	n	nottarget	1	1.161
SupervisedDense	target	test1	x	target	1	0.530
SupervisedDense	target	test2	x	target	1	0.477
SupervisedDense	nottarget	catch6	n	nottarget	1	0.522
SupervisedDense	target	test6	x	target	1	0.965
SupervisedDense	target	test7	x	target	1	0.487
SupervisedDense	target	test8	x	target	1	0.395
SupervisedDense	target	test10	x	target	1	0.516
SupervisedDense	target	test16	x	target	1	0.441
SupervisedDense	target	test11	x	target	1	0.423
SupervisedDense	nottarget	contr12	n	nottarget	1	0.614
SupervisedDense	nottarget	contr4	n	nottarget	1	0.334
SupervisedDense	nottarget	catch2	n	nottarget	1	0.537
