Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedSparse	target	test16	x	target	1	1.591
SupervisedSparse	target	test7	x	target	1	1.656
SupervisedSparse	nottarget	catch7	n	nottarget	1	1.019
SupervisedSparse	nottarget	contr11	x	target	0	0.730
SupervisedSparse	nottarget	contr13	x	target	0	0.790
SupervisedSparse	nottarget	contr10	x	target	0	0.997
SupervisedSparse	nottarget	contr6	x	target	0	0.829
SupervisedSparse	target	test15	x	target	1	0.741
SupervisedSparse	target	test10	x	target	1	1.366
SupervisedSparse	nottarget	contr14	x	target	0	0.775
SupervisedSparse	nottarget	contr9	x	target	0	0.616
SupervisedSparse	target	test6	x	target	1	0.664
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.677
SupervisedSparse	nottarget	contr2	x	target	0	0.555
SupervisedSparse	nottarget	contr8	x	target	0	0.477
SupervisedSparse	nottarget	contr12	x	target	0	1.034
SupervisedSparse	nottarget	catch8	n	nottarget	1	0.871
SupervisedSparse	nottarget	contr16	x	target	0	0.749
SupervisedSparse	nottarget	contr3	x	target	0	0.590
SupervisedSparse	target	test2	x	target	1	0.983
SupervisedSparse	target	test3	x	target	1	0.752
SupervisedSparse	target	test8	x	target	1	0.568
SupervisedSparse	target	test12	x	target	1	0.611
SupervisedSparse	nottarget	contr15	x	target	0	0.658
SupervisedSparse	target	test4	x	target	1	0.560
SupervisedSparse	nottarget	contr7	x	target	0	0.450
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.728
SupervisedSparse	nottarget	contr5	x	target	0	0.539
SupervisedSparse	nottarget	contr4	x	target	0	0.606
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.541
SupervisedSparse	target	test11	x	target	1	0.753
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.586
SupervisedSparse	target	test14	x	target	1	0.554
SupervisedSparse	target	test9	x	target	1	0.852
SupervisedSparse	target	test5	x	target	1	1.001
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.513
SupervisedSparse	target	test1	x	target	1	0.484
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.546
SupervisedSparse	nottarget	contr1	x	target	0	0.524
SupervisedSparse	target	test13	x	target	1	0.464
UnsupervisedDense	nottarget	contr5	n	nottarget	1	3.027
UnsupervisedDense	target	test13	x	target	1	0.647
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.845
UnsupervisedDense	target	test5	x	target	1	1.083
UnsupervisedDense	nottarget	contr7	n	nottarget	1	1.024
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.527
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.633
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.749
UnsupervisedDense	target	test6	x	target	1	0.549
UnsupervisedDense	nottarget	contr4	n	nottarget	1	0.792
UnsupervisedDense	target	test9	x	target	1	0.760
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.738
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.773
UnsupervisedDense	target	test11	x	target	1	0.949
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.680
UnsupervisedDense	target	test1	x	target	1	1.108
UnsupervisedDense	target	test12	x	target	1	0.776
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.512
UnsupervisedDense	target	test4	x	target	1	1.468
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.568
UnsupervisedDense	target	test15	x	target	1	0.521
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.508
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.752
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.618
UnsupervisedDense	target	test8	x	target	1	0.689
UnsupervisedDense	target	test14	x	target	1	3.829
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.473
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.885
UnsupervisedDense	target	test10	x	target	1	0.545
UnsupervisedDense	target	test16	x	target	1	0.563
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.734
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.584
UnsupervisedDense	nottarget	contr2	n	nottarget	1	0.522
UnsupervisedDense	target	test7	x	target	1	0.765
UnsupervisedDense	target	test2	x	target	1	0.581
UnsupervisedDense	target	test3	x	target	1	0.543
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.457
UnsupervisedDense	nottarget	contr10	n	nottarget	1	0.583
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.393
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.393
