Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedSparse	nottarget	contr15	n	nottarget	1	2.528
SupervisedSparse	nottarget	contr3	n	nottarget	1	1.024
SupervisedSparse	nottarget	contr7	n	nottarget	1	0.958
SupervisedSparse	nottarget	contr13	n	nottarget	1	1.304
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.819
SupervisedSparse	target	test15	x	target	1	0.849
SupervisedSparse	target	test8	x	target	1	0.576
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.840
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.656
SupervisedSparse	nottarget	contr8	n	nottarget	1	0.677
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.649
SupervisedSparse	target	test2	x	target	1	0.728
SupervisedSparse	nottarget	contr9	n	nottarget	1	0.643
SupervisedSparse	target	test14	x	target	1	0.643
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.687
SupervisedSparse	target	test3	x	target	1	0.612
SupervisedSparse	target	test13	x	target	1	0.557
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.574
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.544
SupervisedSparse	target	test11	x	target	1	0.578
SupervisedSparse	nottarget	contr10	n	nottarget	1	0.635
SupervisedSparse	target	test1	x	target	1	0.609
SupervisedSparse	nottarget	contr4	n	nottarget	1	0.569
SupervisedSparse	nottarget	catch8	n	nottarget	1	0.667
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.624
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.606
SupervisedSparse	nottarget	contr14	n	nottarget	1	1.270
SupervisedSparse	target	test4	x	target	1	0.586
SupervisedSparse	nottarget	contr2	n	nottarget	1	1.202
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.665
SupervisedSparse	target	test7	x	target	1	0.647
SupervisedSparse	target	test5	x	target	1	0.510
SupervisedSparse	target	test10	x	target	1	0.763
SupervisedSparse	target	test6	x	target	1	0.636
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.626
SupervisedSparse	target	test16	x	target	1	0.665
SupervisedSparse	target	test9	x	target	1	0.855
SupervisedSparse	target	test12	x	target	1	0.619
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.628
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.578
UnsupervisedDense	nottarget	contr12	x	target	0	4.346
UnsupervisedDense	target	test11	x	target	1	1.160
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.641
UnsupervisedDense	nottarget	contr2	n	nottarget	1	0.919
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.489
UnsupervisedDense	nottarget	catch2	n	nottarget	1	2.646
UnsupervisedDense	nottarget	contr14	n	nottarget	1	1.170
UnsupervisedDense	target	test14	x	target	1	0.557
UnsupervisedDense	nottarget	catch1	n	nottarget	1	1.239
UnsupervisedDense	nottarget	catch7	n	nottarget	1	1.477
UnsupervisedDense	nottarget	contr10	n	nottarget	1	1.090
UnsupervisedDense	nottarget	catch3	x	target	0	0.685
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.650
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.895
UnsupervisedDense	target	test16	x	target	1	0.747
UnsupervisedDense	target	test10	x	target	1	0.606
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.638
UnsupervisedDense	target	test2	x	target	1	0.595
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.893
UnsupervisedDense	nottarget	catch5	x	target	0	3.376
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.870
UnsupervisedDense	target	test5	x	target	1	0.658
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.935
UnsupervisedDense	target	test4	x	target	1	0.577
UnsupervisedDense	nottarget	contr6	n	nottarget	1	1.667
UnsupervisedDense	nottarget	catch8	x	target	0	0.790
UnsupervisedDense	target	test12	x	target	1	0.729
UnsupervisedDense	target	test8	x	target	1	0.474
UnsupervisedDense	nottarget	contr4	n	nottarget	1	0.720
UnsupervisedDense	target	test9	x	target	1	0.643
UnsupervisedDense	nottarget	contr1	n	nottarget	1	1.042
UnsupervisedDense	target	test15	x	target	1	0.863
UnsupervisedDense	nottarget	catch6	x	target	0	0.981
UnsupervisedDense	target	test1	x	target	1	0.605
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.548
UnsupervisedDense	target	test13	x	target	1	0.639
UnsupervisedDense	target	test7	x	target	1	0.662
UnsupervisedDense	target	test6	x	target	1	0.564
UnsupervisedDense	target	test3	x	target	1	0.396
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.557
