Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedSparse	nottarget	contr7	n	nottarget	1	3.174
SupervisedSparse	nottarget	contr3	n	nottarget	1	3.589
SupervisedSparse	nottarget	contr16	n	nottarget	1	3.530
SupervisedSparse	nottarget	contr9	n	nottarget	1	1.321
SupervisedSparse	target	test1	x	target	1	0.890
SupervisedSparse	nottarget	catch5	n	nottarget	1	1.407
SupervisedSparse	target	test11	x	target	1	1.085
SupervisedSparse	target	test12	x	target	1	0.962
SupervisedSparse	target	test15	x	target	1	0.643
SupervisedSparse	nottarget	contr8	n	nottarget	1	0.697
SupervisedSparse	target	test3	x	target	1	1.429
SupervisedSparse	target	test10	x	target	1	0.891
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.664
SupervisedSparse	target	test9	x	target	1	0.676
SupervisedSparse	target	test2	x	target	1	0.522
SupervisedSparse	target	test7	x	target	1	1.757
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.654
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.844
SupervisedSparse	nottarget	contr10	n	nottarget	1	0.848
SupervisedSparse	target	test6	x	target	1	0.663
SupervisedSparse	target	test8	x	target	1	0.597
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.598
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.733
SupervisedSparse	target	test5	x	target	1	0.641
SupervisedSparse	nottarget	contr2	n	nottarget	1	1.095
SupervisedSparse	nottarget	catch8	n	nottarget	1	1.202
SupervisedSparse	nottarget	contr15	n	nottarget	1	0.522
SupervisedSparse	nottarget	contr14	n	nottarget	1	0.333
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.504
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.379
SupervisedSparse	nottarget	contr4	n	nottarget	1	0.637
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.419
SupervisedSparse	target	test16	x	target	1	0.523
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.430
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.502
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.466
SupervisedSparse	target	test4	x	target	1	0.487
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.419
SupervisedSparse	target	test13	x	target	1	0.532
SupervisedSparse	target	test14	x	target	1	0.526
UnsupervisedSparse	target	test2	x	target	1	3.389
UnsupervisedSparse	nottarget	catch3	n	nottarget	1	1.691
UnsupervisedSparse	nottarget	contr12	n	nottarget	1	2.245
UnsupervisedSparse	target	test3	x	target	1	3.778
UnsupervisedSparse	nottarget	contr1	n	nottarget	1	1.719
UnsupervisedSparse	target	test1	x	target	1	1.648
UnsupervisedSparse	nottarget	catch8	n	nottarget	1	0.903
UnsupervisedSparse	target	test4	x	target	1	1.782
UnsupervisedSparse	target	test11	x	target	1	1.292
UnsupervisedSparse	nottarget	catch4	n	nottarget	1	0.576
UnsupervisedSparse	nottarget	contr6	n	nottarget	1	1.162
UnsupervisedSparse	nottarget	catch1	n	nottarget	1	0.731
UnsupervisedSparse	target	test15	x	target	1	1.038
UnsupervisedSparse	target	test7	x	target	1	0.988
UnsupervisedSparse	nottarget	catch7	n	nottarget	1	0.620
UnsupervisedSparse	nottarget	contr11	n	nottarget	1	0.875
UnsupervisedSparse	nottarget	contr16	n	nottarget	1	0.761
UnsupervisedSparse	target	test5	x	target	1	2.658
UnsupervisedSparse	nottarget	contr10	n	nottarget	1	0.645
UnsupervisedSparse	nottarget	catch6	n	nottarget	1	0.604
UnsupervisedSparse	nottarget	contr5	n	nottarget	1	0.635
UnsupervisedSparse	nottarget	contr3	n	nottarget	1	0.658
UnsupervisedSparse	nottarget	catch2	n	nottarget	1	0.624
UnsupervisedSparse	nottarget	contr13	n	nottarget	1	0.565
UnsupervisedSparse	target	test14	None	None	0	9999.000
UnsupervisedSparse	target	test10	x	target	1	3.731
UnsupervisedSparse	nottarget	contr2	n	nottarget	1	0.803
UnsupervisedSparse	nottarget	catch5	n	nottarget	1	0.610
UnsupervisedSparse	target	test12	x	target	1	1.201
UnsupervisedSparse	nottarget	contr14	n	nottarget	1	1.113
UnsupervisedSparse	nottarget	contr4	n	nottarget	1	0.563
UnsupervisedSparse	target	test8	x	target	1	0.868
UnsupervisedSparse	nottarget	contr8	n	nottarget	1	1.634
UnsupervisedSparse	target	test6	x	target	1	1.648
UnsupervisedSparse	nottarget	contr7	n	nottarget	1	0.740
UnsupervisedSparse	nottarget	contr15	n	nottarget	1	0.751
UnsupervisedSparse	target	test9	n	nottarget	0	2.265
UnsupervisedSparse	target	test16	x	target	1	3.324
UnsupervisedSparse	target	test13	x	target	1	1.332
UnsupervisedSparse	nottarget	contr9	n	nottarget	1	0.622
