Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
UnsupervisedDense	nottarget	contr12	n	nottarget	1	2.912
UnsupervisedDense	nottarget	catch3	x	target	0	2.392
UnsupervisedDense	target	test6	x	target	1	1.206
UnsupervisedDense	nottarget	contr16	n	nottarget	1	1.197
UnsupervisedDense	nottarget	catch1	n	nottarget	1	1.235
UnsupervisedDense	target	test15	x	target	1	1.001
UnsupervisedDense	target	test1	x	target	1	1.391
UnsupervisedDense	target	test12	x	target	1	0.967
UnsupervisedDense	nottarget	catch4	n	nottarget	1	2.039
UnsupervisedDense	target	test8	x	target	1	1.140
UnsupervisedDense	nottarget	contr2	n	nottarget	1	1.022
UnsupervisedDense	target	test13	x	target	1	0.756
UnsupervisedDense	target	test14	x	target	1	0.941
UnsupervisedDense	nottarget	contr5	n	nottarget	1	1.016
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.846
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.492
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.602
UnsupervisedDense	nottarget	contr7	n	nottarget	1	1.625
UnsupervisedDense	nottarget	contr4	n	nottarget	1	1.014
UnsupervisedDense	nottarget	catch8	n	nottarget	1	2.020
UnsupervisedDense	target	test16	x	target	1	0.881
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.717
UnsupervisedDense	nottarget	contr6	n	nottarget	1	1.392
UnsupervisedDense	nottarget	catch5	x	target	0	3.159
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.956
UnsupervisedDense	nottarget	catch6	n	nottarget	1	2.453
UnsupervisedDense	target	test9	x	target	1	0.871
UnsupervisedDense	nottarget	contr8	n	nottarget	1	1.107
UnsupervisedDense	target	test11	x	target	1	0.710
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.611
UnsupervisedDense	target	test7	x	target	1	1.345
UnsupervisedDense	nottarget	catch2	x	target	0	2.780
UnsupervisedDense	target	test5	x	target	1	1.073
UnsupervisedDense	target	test2	x	target	1	0.844
UnsupervisedDense	nottarget	contr10	n	nottarget	1	0.828
UnsupervisedDense	target	test4	x	target	1	1.281
UnsupervisedDense	nottarget	catch7	x	target	0	2.013
UnsupervisedDense	target	test3	x	target	1	0.685
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.517
UnsupervisedDense	target	test10	x	target	1	0.936
SupervisedDense	nottarget	contr2	x	target	0	3.892
SupervisedDense	target	test3	x	target	1	2.596
SupervisedDense	nottarget	contr16	x	target	0	2.242
SupervisedDense	target	test1	x	target	1	1.548
SupervisedDense	nottarget	catch7	n	nottarget	1	2.085
SupervisedDense	target	test10	x	target	1	1.719
SupervisedDense	target	test4	x	target	1	1.035
SupervisedDense	nottarget	catch3	n	nottarget	1	0.905
SupervisedDense	nottarget	contr6	x	target	0	1.005
SupervisedDense	nottarget	contr5	x	target	0	0.860
SupervisedDense	target	test8	x	target	1	2.017
SupervisedDense	target	test5	x	target	1	0.959
SupervisedDense	target	test14	x	target	1	0.841
SupervisedDense	nottarget	contr8	x	target	0	1.166
SupervisedDense	nottarget	contr12	x	target	0	0.896
SupervisedDense	nottarget	contr11	x	target	0	0.732
SupervisedDense	nottarget	contr14	x	target	0	1.054
SupervisedDense	nottarget	catch8	n	nottarget	1	0.708
SupervisedDense	nottarget	catch4	n	nottarget	1	0.808
SupervisedDense	nottarget	catch5	n	nottarget	1	0.686
SupervisedDense	target	test9	x	target	1	0.612
SupervisedDense	nottarget	contr4	x	target	0	0.700
SupervisedDense	target	test16	x	target	1	0.471
SupervisedDense	target	test11	x	target	1	0.469
SupervisedDense	nottarget	catch1	n	nottarget	1	0.706
SupervisedDense	target	test15	x	target	1	0.949
SupervisedDense	nottarget	contr13	x	target	0	0.839
SupervisedDense	target	test6	x	target	1	0.638
SupervisedDense	nottarget	contr15	x	target	0	0.868
SupervisedDense	target	test13	x	target	1	0.592
SupervisedDense	nottarget	contr7	x	target	0	0.626
SupervisedDense	nottarget	contr9	x	target	0	0.480
SupervisedDense	nottarget	catch6	n	nottarget	1	0.781
SupervisedDense	nottarget	contr10	x	target	0	0.605
SupervisedDense	nottarget	contr3	x	target	0	0.550
SupervisedDense	target	test12	x	target	1	0.673
SupervisedDense	nottarget	contr1	x	target	0	0.525
SupervisedDense	nottarget	catch2	n	nottarget	1	0.561
SupervisedDense	target	test7	x	target	1	0.450
SupervisedDense	target	test2	x	target	1	0.609
