Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedSparse	nottarget	contr9	x	target	0	1.266
SupervisedSparse	target	test9	x	target	1	0.559
SupervisedSparse	target	test10	x	target	1	0.714
SupervisedSparse	nottarget	contr6	x	target	0	0.462
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.723
SupervisedSparse	nottarget	contr7	x	target	0	0.886
SupervisedSparse	target	test12	x	target	1	2.763
SupervisedSparse	nottarget	contr3	x	target	0	1.673
SupervisedSparse	nottarget	contr13	x	target	0	0.470
SupervisedSparse	nottarget	catch3	n	nottarget	1	1.163
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.748
SupervisedSparse	nottarget	contr2	x	target	0	0.622
SupervisedSparse	nottarget	contr1	x	target	0	0.493
SupervisedSparse	target	test7	x	target	1	1.858
SupervisedSparse	nottarget	contr8	x	target	0	0.477
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.587
SupervisedSparse	nottarget	contr12	x	target	0	0.516
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.527
SupervisedSparse	nottarget	contr10	x	target	0	0.338
SupervisedSparse	target	test1	x	target	1	0.493
SupervisedSparse	nottarget	contr11	x	target	0	0.419
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.562
SupervisedSparse	target	test8	x	target	1	0.427
SupervisedSparse	target	test14	n	nottarget	0	0.442
SupervisedSparse	nottarget	contr5	x	target	0	1.234
SupervisedSparse	target	test2	x	target	1	0.608
SupervisedSparse	target	test5	x	target	1	0.335
SupervisedSparse	target	test3	x	target	1	0.610
SupervisedSparse	nottarget	contr14	x	target	0	0.434
SupervisedSparse	target	test6	x	target	1	1.617
SupervisedSparse	target	test4	x	target	1	0.488
SupervisedSparse	nottarget	catch8	n	nottarget	1	0.468
SupervisedSparse	target	test11	x	target	1	0.793
SupervisedSparse	nottarget	contr15	x	target	0	0.849
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.519
SupervisedSparse	target	test13	x	target	1	0.458
SupervisedSparse	nottarget	contr16	x	target	0	0.368
SupervisedSparse	target	test16	x	target	1	0.403
SupervisedSparse	nottarget	contr4	x	target	0	0.402
SupervisedSparse	target	test15	x	target	1	0.497
UnsupervisedDense	target	test4	x	target	1	1.748
UnsupervisedDense	target	test6	x	target	1	3.461
UnsupervisedDense	target	test9	x	target	1	0.911
UnsupervisedDense	target	test15	n	nottarget	0	3.066
UnsupervisedDense	nottarget	catch3	n	nottarget	1	1.157
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.749
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.567
UnsupervisedDense	target	test3	x	target	1	0.573
UnsupervisedDense	nottarget	contr10	n	nottarget	1	1.351
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.783
UnsupervisedDense	nottarget	contr16	n	nottarget	1	1.383
UnsupervisedDense	nottarget	contr2	n	nottarget	1	1.608
UnsupervisedDense	target	test16	x	target	1	0.558
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.704
UnsupervisedDense	target	test5	x	target	1	0.651
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.417
UnsupervisedDense	target	test8	x	target	1	0.442
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.511
UnsupervisedDense	target	test12	x	target	1	0.635
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.466
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.680
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.524
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.527
UnsupervisedDense	target	test11	x	target	1	1.131
UnsupervisedDense	target	test13	x	target	1	0.653
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.587
UnsupervisedDense	target	test14	n	nottarget	0	0.468
UnsupervisedDense	target	test7	x	target	1	0.553
UnsupervisedDense	nottarget	contr4	x	target	0	0.371
UnsupervisedDense	target	test2	n	nottarget	0	1.716
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.998
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.455
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.517
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.624
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.550
UnsupervisedDense	target	test10	x	target	1	0.609
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.673
UnsupervisedDense	target	test1	x	target	1	0.716
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.728
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.539
