Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedDense	nottarget	contr16	n	nottarget	1	2.209
SupervisedDense	target	test8	x	target	1	2.463
SupervisedDense	nottarget	contr1	n	nottarget	1	1.739
SupervisedDense	nottarget	contr12	n	nottarget	1	1.691
SupervisedDense	target	test7	x	target	1	2.255
SupervisedDense	nottarget	catch6	n	nottarget	1	1.817
SupervisedDense	nottarget	contr11	n	nottarget	1	1.215
SupervisedDense	target	test3	x	target	1	1.230
SupervisedDense	nottarget	contr2	n	nottarget	1	0.957
SupervisedDense	target	test13	x	target	1	0.854
SupervisedDense	nottarget	contr15	n	nottarget	1	0.650
SupervisedDense	nottarget	catch5	n	nottarget	1	1.152
SupervisedDense	nottarget	contr14	n	nottarget	1	0.625
SupervisedDense	nottarget	contr5	n	nottarget	1	1.064
SupervisedDense	target	test2	x	target	1	1.060
SupervisedDense	nottarget	catch7	n	nottarget	1	0.915
SupervisedDense	nottarget	contr10	n	nottarget	1	0.621
SupervisedDense	target	test12	x	target	1	2.372
SupervisedDense	target	test10	x	target	1	0.609
SupervisedDense	target	test9	x	target	1	0.945
SupervisedDense	nottarget	catch3	n	nottarget	1	0.626
SupervisedDense	nottarget	contr8	n	nottarget	1	1.099
SupervisedDense	target	test6	x	target	1	1.206
SupervisedDense	nottarget	contr13	n	nottarget	1	1.949
SupervisedDense	nottarget	catch1	n	nottarget	1	1.229
SupervisedDense	target	test5	x	target	1	1.117
SupervisedDense	target	test15	x	target	1	1.063
SupervisedDense	nottarget	contr7	n	nottarget	1	0.797
SupervisedDense	target	test11	x	target	1	1.564
SupervisedDense	target	test1	x	target	1	0.723
SupervisedDense	target	test16	x	target	1	0.822
SupervisedDense	nottarget	contr9	n	nottarget	1	0.653
SupervisedDense	nottarget	catch2	n	nottarget	1	1.050
SupervisedDense	nottarget	catch4	n	nottarget	1	2.369
SupervisedDense	target	test14	x	target	1	1.559
SupervisedDense	nottarget	contr6	n	nottarget	1	0.959
SupervisedDense	nottarget	contr3	n	nottarget	1	0.561
SupervisedDense	nottarget	catch8	n	nottarget	1	1.002
SupervisedDense	nottarget	contr4	n	nottarget	1	1.730
SupervisedDense	target	test4	x	target	1	0.930
UnsupervisedDense	target	test8	x	target	1	1.943
UnsupervisedDense	nottarget	contr12	n	nottarget	1	3.536
UnsupervisedDense	nottarget	catch3	x	target	0	3.511
UnsupervisedDense	target	test12	x	target	1	1.519
UnsupervisedDense	target	test11	x	target	1	1.225
UnsupervisedDense	target	test6	x	target	1	1.584
UnsupervisedDense	nottarget	contr11	n	nottarget	1	3.479
UnsupervisedDense	target	test16	x	target	1	1.076
UnsupervisedDense	target	test10	x	target	1	1.417
UnsupervisedDense	nottarget	contr15	n	nottarget	1	3.471
UnsupervisedDense	nottarget	catch7	x	target	0	3.512
UnsupervisedDense	nottarget	contr6	n	nottarget	1	1.616
UnsupervisedDense	target	test9	x	target	1	0.830
UnsupervisedDense	nottarget	catch5	n	nottarget	1	1.821
UnsupervisedDense	nottarget	catch8	n	nottarget	1	1.849
UnsupervisedDense	nottarget	contr10	n	nottarget	1	1.382
UnsupervisedDense	nottarget	contr14	n	nottarget	1	3.214
UnsupervisedDense	nottarget	contr3	n	nottarget	1	1.515
UnsupervisedDense	nottarget	contr7	n	nottarget	1	1.325
UnsupervisedDense	target	test5	x	target	1	0.751
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.962
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.771
UnsupervisedDense	target	test14	x	target	1	0.731
UnsupervisedDense	target	test15	x	target	1	1.070
UnsupervisedDense	target	test2	x	target	1	0.875
UnsupervisedDense	nottarget	contr2	n	nottarget	1	1.838
UnsupervisedDense	target	test4	x	target	1	1.052
UnsupervisedDense	nottarget	catch1	n	nottarget	1	1.113
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.763
UnsupervisedDense	target	test13	x	target	1	0.622
UnsupervisedDense	target	test1	x	target	1	0.884
UnsupervisedDense	nottarget	contr4	n	nottarget	1	0.808
UnsupervisedDense	target	test7	x	target	1	0.688
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.652
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.563
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.693
UnsupervisedDense	nottarget	contr8	n	nottarget	1	1.288
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.604
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.459
UnsupervisedDense	target	test3	x	target	1	0.722
