Type	Category	KEY	RESP	Accuracy	RT
RB	b	d	a	0	0.790
RB	a	j	b	0	0.955
RB	a	j	b	0	0.660
RB	b	j	b	1	0.523
RB	b	j	b	1	0.501
RB	b	j	b	1	1.274
RB	a	d	a	1	0.579
RB	a	d	a	1	0.421
RB	b	d	a	0	0.426
RB	a	j	b	0	0.734
RB	b	j	b	1	0.933
RB	a	j	b	0	1.499
RB	b	d	a	0	1.000
RB	b	d	a	0	0.916
RB	b	d	a	0	2.182
RB	b	j	b	1	0.748
RB	b	d	a	0	0.697
RB	b	j	b	1	1.735
RB	b	j	b	1	0.880
RB	a	d	a	1	0.610
RB	b	j	b	1	1.461
RB	a	d	a	1	1.432
RB	a	j	b	0	1.244
RB	a	j	b	0	1.905
RB	a	d	a	1	1.041
RB	b	d	a	0	0.660
RB	a	j	b	0	1.980
RB	a	j	b	0	1.089
RB	a	d	a	1	1.122
RB	b	j	b	1	0.783
RB	b	d	a	0	0.573
RB	b	j	b	1	1.086
RB	a	d	a	1	0.793
RB	a	d	a	1	1.264
RB	b	j	b	1	1.076
RB	a	j	b	0	1.143
RB	a	j	b	0	0.858
RB	a	j	b	0	1.205
RB	a	j	b	0	0.441
RB	b	d	a	0	0.347
