Type	Category	KEY	RESP	Accuracy	RT
II	a	d	a	1	2.755
II	a	d	a	1	0.715
II	a	d	a	1	0.748
II	a	d	a	1	1.009
II	b	j	b	1	0.930
II	b	d	a	0	0.742
II	a	j	b	0	0.736
II	b	d	a	0	0.665
II	b	j	b	1	1.955
II	a	j	b	0	0.507
II	b	d	a	0	0.586
II	a	d	a	1	0.417
II	b	d	a	0	1.066
II	b	j	b	1	0.662
II	a	j	b	0	0.455
II	a	d	a	1	0.346
II	b	d	a	0	0.478
II	a	d	a	1	0.610
II	a	d	a	1	0.780
II	a	j	b	0	1.030
II	a	j	b	0	0.497
II	b	d	a	0	0.624
II	b	d	a	0	0.945
II	b	d	a	0	0.616
II	a	d	a	1	0.790
II	a	j	b	0	0.894
II	b	d	a	0	1.384
II	a	d	a	1	0.812
II	b	d	a	0	0.861
II	b	d	a	0	1.152
II	a	j	b	0	0.741
II	b	j	b	1	0.786
II	b	d	a	0	0.778
II	b	j	b	1	1.431
II	b	j	b	1	0.768
II	b	j	b	1	0.503
II	a	j	b	0	0.439
II	b	j	b	1	0.683
II	a	d	a	1	0.679
II	a	d	a	1	0.563
