Type	Category	KEY	RESP	Accuracy	RT
RB	a	d	a	1	0.001
RB	a	j	b	0	0.942
RB	b	d	a	0	1.230
RB	a	d	a	1	0.968
RB	a	j	b	0	0.838
RB	a	d	a	1	1.202
RB	b	j	b	1	0.987
RB	a	j	b	0	0.993
RB	a	j	b	0	1.815
RB	b	d	a	0	1.163
RB	b	d	a	0	0.953
RB	a	d	a	1	0.908
RB	b	d	a	0	1.211
RB	b	j	b	1	1.307
RB	a	j	b	0	1.064
RB	a	d	a	1	0.749
RB	b	d	a	0	0.837
RB	a	j	b	0	1.562
RB	a	j	b	0	0.738
RB	a	d	a	1	1.350
RB	b	j	b	1	0.798
RB	b	d	a	0	0.690
RB	b	j	b	1	0.478
RB	b	j	b	1	0.909
RB	a	j	b	0	0.810
RB	b	d	a	0	0.909
RB	a	d	a	1	1.505
RB	a	j	b	0	0.840
RB	b	j	b	1	1.320
RB	b	j	b	1	2.605
RB	b	j	b	1	0.992
RB	b	j	b	1	0.914
RB	a	j	b	0	0.921
RB	b	j	b	1	1.477
RB	b	d	a	0	0.916
RB	b	j	b	1	0.664
RB	a	d	a	1	1.394
RB	b	d	a	0	0.933
RB	a	d	a	1	1.068
RB	a	d	a	1	0.842
