Type	Category	KEY	RESP	Accuracy	RT
II	a	j	b	0	1.595
II	a	j	b	0	1.164
II	b	j	b	1	1.499
II	b	d	a	0	2.398
II	b	d	a	0	0.972
II	b	j	b	1	0.904
II	b	j	b	1	4.306
II	a	d	a	1	0.892
II	b	d	a	0	0.904
II	a	j	b	0	0.824
II	b	j	b	1	0.787
II	a	j	b	0	2.255
II	a	d	a	1	1.258
II	a	d	a	1	0.793
II	a	d	a	1	1.523
II	a	j	b	0	0.959
II	b	d	a	0	0.674
II	b	d	a	0	0.761
II	b	j	b	1	1.093
II	a	j	b	0	0.765
II	a	j	b	0	0.950
II	b	j	b	1	1.006
II	a	d	a	1	1.105
II	b	d	a	0	1.067
II	a	d	a	1	1.121
II	b	d	a	0	1.059
II	b	j	b	1	0.988
II	b	d	a	0	0.875
II	a	j	b	0	0.911
II	b	j	b	1	1.116
II	b	j	b	1	3.219
II	a	j	b	0	1.175
II	b	j	b	1	1.005
II	a	d	a	1	0.569
II	a	d	a	1	0.916
II	a	j	b	0	1.031
II	a	j	b	0	0.572
II	a	j	b	0	0.528
II	b	j	b	1	0.818
II	b	j	b	1	0.748
