Type	Category	KEY	RESP	Accuracy	RT
II	b	d	a	0	1.369
II	a	d	a	1	1.384
II	b	d	a	0	0.772
II	b	j	b	1	2.031
II	a	j	b	0	2.763
II	b	j	b	1	1.145
II	b	j	b	1	1.410
II	b	j	b	1	0.964
II	b	j	b	1	0.795
II	a	d	a	1	0.721
II	b	j	b	1	0.698
II	a	j	b	0	0.671
II	a	j	b	0	0.821
II	b	d	a	0	4.177
II	a	d	a	1	1.261
II	a	d	a	1	0.751
II	a	d	a	1	2.567
II	b	j	b	1	1.207
II	a	j	b	0	0.876
II	b	d	a	0	0.560
II	a	d	a	1	0.335
II	b	d	a	0	0.871
II	b	j	b	1	0.766
II	a	j	b	0	0.685
II	b	d	a	0	0.464
II	a	d	a	1	0.351
II	b	d	a	0	1.137
II	a	j	b	0	0.684
II	a	j	b	0	0.665
II	a	d	a	1	1.178
II	b	d	a	0	0.613
II	b	d	a	0	1.199
II	a	d	a	1	1.514
II	a	j	b	0	0.882
II	b	d	a	0	1.467
II	a	j	b	0	0.868
II	b	j	b	1	0.569
II	a	d	a	1	1.025
II	b	d	a	0	0.862
II	a	j	b	0	0.945
