Type	Category	KEY	RESP	Accuracy	RT
RB	a	j	b	0	1.098
RB	b	j	b	1	0.744
RB	a	d	a	1	1.768
RB	b	d	a	0	1.216
RB	a	j	b	0	0.716
RB	b	d	a	0	0.906
RB	b	j	b	1	1.814
RB	b	j	b	1	1.147
RB	a	d	a	1	2.582
RB	b	d	a	0	1.332
RB	a	d	a	1	0.700
RB	a	j	b	0	1.848
RB	a	j	b	0	1.295
RB	b	d	a	0	1.027
RB	b	d	a	0	0.425
RB	a	j	b	0	0.328
RB	a	j	b	0	0.779
RB	a	j	b	0	0.685
RB	b	j	b	1	0.704
RB	b	d	a	0	1.067
RB	b	d	a	0	0.580
RB	a	j	b	0	0.330
RB	a	j	b	0	0.456
RB	a	d	a	1	0.099
RB	a	d	a	1	0.909
RB	b	d	a	0	1.265
RB	b	d	a	0	0.888
RB	a	j	b	0	1.018
RB	a	d	a	1	0.591
RB	b	d	a	0	0.627
RB	a	j	b	0	0.726
RB	b	d	a	0	0.809
RB	a	d	a	1	0.833
RB	b	d	a	0	0.890
RB	b	j	b	1	0.567
RB	a	j	b	0	0.659
RB	b	d	a	0	0.753
RB	b	d	a	0	0.981
RB	b	j	b	1	0.576
RB	a	j	b	0	0.879
