Type	Category	KEY	RESP	Accuracy	RT
II	b	None	None	0	9999.000
II	b	j	b	1	1.046
II	a	d	a	1	0.830
II	b	j	b	1	0.677
II	a	j	b	0	0.546
II	a	j	b	0	0.832
II	a	d	a	1	2.007
II	b	d	a	0	0.903
II	b	d	a	0	0.899
II	a	j	b	0	1.224
II	b	j	b	1	1.089
II	b	d	a	0	2.533
II	a	j	b	0	1.483
II	a	j	b	0	2.271
II	b	j	b	1	0.970
II	a	j	b	0	1.130
II	b	j	b	1	1.658
II	b	j	b	1	1.606
II	b	j	b	1	0.981
II	a	d	a	1	1.993
II	b	j	b	1	1.589
II	a	j	b	0	0.991
II	b	j	b	1	4.729
II	a	d	a	1	1.955
II	b	j	b	1	1.402
II	a	d	a	1	1.958
II	a	d	a	1	1.312
II	b	d	a	0	0.894
II	a	j	b	0	0.771
II	a	j	b	0	0.662
II	b	d	a	0	0.914
II	b	d	a	0	0.962
II	a	j	b	0	0.627
II	a	j	b	0	2.054
II	a	j	b	0	0.447
II	b	j	b	1	0.344
II	b	j	b	1	0.786
II	a	d	a	1	0.873
II	b	d	a	0	0.538
II	a	d	a	1	0.686
