"","Subject","System","ashby","sloutsky","tt","ashby.t","sloutsky.t","tt.t"
"1",8001,"associative",-0.530204000389631,0.559709314959723,0.756193227140765,-0.461310589018386,0.533918753228529,0.985549574013799
"2",8001,"hypothesis-testing",1.40377930757081,0.559709314959723,0.756193227140765,1.32082695056463,0.533918753228529,0.985549574013799
"3",8013,"associative",-0.132810169986801,0.559709314959723,-4.10361846901057,-0.0147185584760344,0.533918753228529,-2.28816751365096
"4",8013,"hypothesis-testing",1.43027222959766,-2.34655490158586,1.02618276581584,1.3404867291605,-2.0994771313393,1.66699446423634
"5",8017,"associative",-0.848119064711894,0.317520630247591,1.02618276581584,-0.850346122802439,0.31446909618121,1.66699446423634
"6",8017,"hypothesis-testing",0.820935022979991,0.317520630247591,0.756193227140765,0.86637423418395,0.31446909618121,0.985549574013799
"7",8018,"associative",-1.03356951889988,0.559709314959723,0.48620368846569,-1.08883996230589,0.533918753228529,0.409131946242367
"8",8018,"hypothesis-testing",1.66870852783936,0.559709314959723,0.48620368846569,1.51412755052011,0.533918753228529,0.409131946242367
"9",8021,"associative",-0.768640298631328,0.559709314959723,-0.863744004909681,-0.750666411041357,0.533918753228529,-1.13430864089239
"10",8021,"hypothesis-testing",1.40377930757081,0.559709314959723,-2.7536707756352,1.32082695056463,0.533918753228529,-1.94690677283914
"11",8024,"associative",-0.848119064711894,-0.409045423888804,0.756193227140765,-0.850346122802439,-0.343879874960747,0.985549574013799
"12",8024,"hypothesis-testing",1.58922976175879,0.0753319455354589,0.216214149790616,1.45688505448804,0.0950194391338904,-0.063775850159931
"13",8026,"associative",-0.556696922416486,-0.651234108600937,1.02618276581584,-0.492716708204804,-0.563329532008066,1.66699446423634
"14",8026,"hypothesis-testing",0.423541192577161,0.559709314959723,1.02618276581584,0.526116187025379,0.533918753228529,1.66699446423634
"15",8027,"associative",-0.609682766470196,0.559709314959723,-0.593754466234607,-0.556099154832713,0.533918753228529,-0.945825918196968
"16",8027,"hypothesis-testing",1.13885008730225,-0.651234108600937,-0.0537753888844579,1.11977674196385,-0.563329532008066,-0.435038978017382
"17",8029,"associative",-1.21901997308787,0.559709314959723,-0.323764927559533,-1.33520829283839,0.533918753228529,-0.718928568173799
"18",8029,"hypothesis-testing",-0.0798243259330897,0.317520630247591,1.02618276581584,0.0410747968116848,0.31446909618121,1.66699446423634
"19",8030,"associative",-0.901104908765605,-0.651234108600937,-0.323764927559533,-0.917655947526425,-0.563329532008066,-0.718928568173799
"20",8030,"hypothesis-testing",-1.27200581714158,0.0753319455354589,0.48620368846569,-1.40698371692017,0.0950194391338904,0.409131946242367
"21",8032,"associative",-0.874611986738749,0.559709314959723,0.48620368846569,-0.883916418590212,0.533918753228529,0.409131946242367
"22",8032,"hypothesis-testing",0.847427945006846,-0.166856739176672,0.48620368846569,0.888062171938599,-0.124430217913428,0.409131946242367
"23",8033,"associative",-0.954090752819315,0.317520630247591,-0.593754466234607,-0.985636646865159,0.31446909618121,-0.945825918196968
"24",8033,"hypothesis-testing",0.847427945006846,0.559709314959723,-4.10361846901057,0.888062171938599,0.533918753228529,-2.28816751365096
"25",8034,"associative",-0.662668610523907,0.317520630247591,-0.0537753888844579,-0.620228405486052,0.31446909618121,-0.435038978017382
"26",8034,"hypothesis-testing",-1.51044211538328,-3.31530964043439,-0.863744004909681,-1.73725010408494,-2.97727575952858,-1.13430864089239
"27",8035,"associative",0.132119050281753,-0.166856739176672,0.48620368846569,0.254525362934912,-0.124430217913428,0.409131946242367
"28",8035,"hypothesis-testing",1.40377930757081,0.317520630247591,0.48620368846569,1.32082695056463,0.31446909618121,0.409131946242367
"29",8036,"associative",-0.371246468228498,0.559709314959723,-0.593754466234607,-0.27700301536202,0.533918753228529,-0.945825918196968
"30",8036,"hypothesis-testing",1.43027222959766,0.559709314959723,0.756193227140765,1.3404867291605,0.533918753228529,0.985549574013799
"31",8037,"associative",-0.397739390255354,-0.166856739176672,-0.323764927559533,-0.307217797121002,-0.124430217913428,-0.718928568173799
"32",8037,"hypothesis-testing",1.45676515162452,0.559709314959723,-0.323764927559533,1.36007039994537,0.533918753228529,-0.718928568173799
"33",8038,"associative",-1.00707659687303,0.559709314959723,-0.593754466234607,-1.05427644255121,0.533918753228529,-0.945825918196968
"34",8038,"hypothesis-testing",-0.450725234309064,0.317520630247591,-0.593754466234607,-0.36825829480251,0.31446909618121,-0.945825918196968
"35",8042,"associative",-0.371246468228498,0.559709314959723,0.216214149790616,-0.27700301536202,0.533918753228529,-0.063775850159931
"36",8042,"hypothesis-testing",1.48325807365137,0.559709314959723,1.02618276581584,1.37957907356483,0.533918753228529,1.66699446423634
"37",8044,"associative",-0.212288936067366,0.317520630247591,-1.13373354358476,-0.100156094850201,0.31446909618121,-1.29519638588799
"38",8044,"hypothesis-testing",1.58922976175879,0.559709314959723,-0.863744004909681,1.45688505448804,0.533918753228529,-1.13430864089239
"39",8045,"associative",-0.530204000389631,0.317520630247591,0.216214149790616,-0.461310589018386,0.31446909618121,-0.063775850159931
"40",8045,"hypothesis-testing",1.13885008730225,0.317520630247591,-1.13373354358476,1.11977674196385,0.31446909618121,-1.29519638588799
"41",8046,"associative",-0.742147376604473,0.317520630247591,0.216214149790616,-0.717789016356967,0.31446909618121,-0.063775850159931
"42",8046,"hypothesis-testing",-1.06006244092674,-2.10436621687373,0.756193227140765,-1.12356407016954,-1.88002747429198,0.985549574013799
"43",8047,"associative",-0.874611986738749,0.0753319455354589,0.756193227140765,-0.883916418590212,0.0950194391338904,0.985549574013799
