"","Subject","System","ashby","sloutsky","tt","ashby.t","sloutsky.t","tt.t"
"1",8001,"associative",0.400404492819421,2.52935805758787,-0.43728248123145,0.500886602587717,1.94419550844103,-0.402684146672862
"2",8001,"hypothesis-testing",-0.444315080549789,-0.295957983784308,-0.192435116200747,-0.362522245279459,-0.135803454217629,-0.0769544046309554
"3",8013,"associative",0.772641262779315,0.25127002741837,1.13345617540857,0.853992936876974,0.477614898199174,1.11001258651518
"4",8013,"hypothesis-testing",-0.52499912062091,-0.512960301692494,7.07190179492782,-0.449912959638568,-0.435700611831763,3.52736428783074
"5",8017,"associative",0.789820671503231,0.927174514292169,1.64323634464831,0.869992508952698,1.02810752537998,1.42935954451845
"6",8017,"hypothesis-testing",0.189910368456006,-0.671283421390814,0.147706604102191,0.294862944466775,-0.673700224366348,0.30675097907266
"7",8018,"associative",1.59644567468868,1.011327235031,1.36631530578233,1.59808448381009,1.08697834040658,1.26150919936291
"8",8018,"hypothesis-testing",-0.299956456485167,0.849104662991833,1.83500636468979,-0.208073002553511,0.971932497249778,1.5388952349165
"9",8021,"associative",0.855382208470469,1.42335196105003,-0.933704556820149,0.930834685554242,1.35361323399467,-1.18037623696917
"10",8021,"hypothesis-testing",-0.485647781981561,-0.166086774081015,-0.924778447122477,-0.40719850719885,0.0285373794460403,-1.16507585051125
"11",8024,"associative",-1.44330911606607,1.60397055204244,0.412580909512478,-1.48915368487376,1.46093480671021,0.557181398064856
"12",8024,"hypothesis-testing",-0.178472797551361,0.0603846998255409,-1.13822874578789,-0.0801369775432765,0.28660441508015,-1.54360764979616
"13",8026,"associative",0.0536480347063912,1.65462404015014,-0.0468652570133414,0.158496595059946,1.49013319656615,0.0972351557418336
"14",8026,"hypothesis-testing",-0.479671939874952,-0.640584445973661,-0.067047293582749,-0.400727186017066,-0.626317412430168,0.0739831862285587
"15",8027,"associative",0.564046013208925,0.0223915705095695,0.0173750582356186,0.657715391351436,0.24588698448719,0.169280969129098
"16",8027,"hypothesis-testing",-0.160147744964029,-0.532428658682025,-0.707116553862041,-0.0610108682954504,-0.464108277284679,-0.80664065800014
"17",8029,"associative",-1.16016579422113,-0.520481092084916,-0.135947708065184,-1.1608874338558,-0.446645901901878,-0.00758827356678141
"18",8029,"hypothesis-testing",-0.252739474334332,-1.11564690122697,0.524370580557184,-0.158117426986143,-1.42358121055899,0.653554233113803
"19",8030,"associative",-2.4165051927345,-0.402616465713207,1.40276998250572,-2.65990886853559,-0.27932626207969,1.28432243831863
"20",8030,"hypothesis-testing",-2.34221888160236,0.14794291158502,0.529409930425816,-2.56848447714976,0.376855468987869,0.657787028362376
"21",8032,"associative",0.342198060694827,0.709026941235971,0.212091159049989,0.444429927624707,0.867021221795257,0.37087450772867
"22",8032,"hypothesis-testing",-0.49751281463813,-0.890040153643156,-1.53739716239437,-0.420059284147259,-1.02811797730264,-2.32013806075621
"23",8033,"associative",0.270777462559068,-0.367110510951115,0.816155129784566,0.374632896076405,-0.230706077359078,0.884860436412785
"24",8033,"hypothesis-testing",-0.616086181698772,-0.958658849399523,-0.526732507523892,-0.549436548146882,-1.14523418198697,-0.531504032363018
"25",8034,"associative",-1.77769599251882,0.0853649152235269,-0.800279528212906,-1.88447967978002,0.312846243408856,-0.956580357744742
"26",8034,"hypothesis-testing",-2.66067200591196,-1.02713552629172,-0.257431798542228,-2.96255475533255,-1.26487935464617,-0.159495249927157
"27",8035,"associative",0.334533267885028,-0.986004914953573,0.719087333191992,0.436967527591213,-1.19268406117825,0.810830454437861
"28",8035,"hypothesis-testing",-0.864930991349495,-1.66380731378858,-0.763411413568274,-0.825676962832668,-2.50465618125977,-0.896615094384613
"29",8036,"associative",-0.188071201757803,-0.122750512368581,-0.661518131543545,-0.0901734556163096,0.0807663223031413,-0.735181690608421
"30",8036,"hypothesis-testing",1.03028586639586,-0.644335186753451,0.126876333117324,1.0915541066426,-0.632074988233857,0.285497772789951
"31",8037,"associative",0.427704085482742,0.932983714573277,0.206013916499883,0.527239318151705,1.03222616526256,0.364919466777255
"32",8037,"hypothesis-testing",-0.395143404052775,-1.08994925831679,0.798959028169384,-0.309631332074635,-1.37703775233544,0.871939377403236
"33",8038,"associative",-0.0788949552191686,0.0913168629474401,0.899751588745469,0.0232203815022959,0.319039012365298,0.946549628090491
"34",8038,"hypothesis-testing",0.046420803086508,0.200580720798839,0.32000408769077,0.151190036161025,0.428911238623713,0.473483889871562
"35",8042,"associative",1.10345413025837,1.54572995741862,0.340894111374094,1.15814214861183,1.42688906805761,0.492700903060029
"36",8042,"hypothesis-testing",-0.433903075415661,0.536768016233666,1.42465434080579,-0.35129902455909,0.729790076908985,1.29790801603279
"37",8044,"associative",-0.243157144063883,-1.02401461706314,-1.03567687506636,-0.148014610916208,-1.25936661340641,-1.35846523697723
"38",8044,"hypothesis-testing",-0.821074457816859,-1.34001795246894,-1.38241902334105,-0.776552363353347,-1.84594577962554,-2.0082686623461
"39",8045,"associative",-0.670505839979228,0.158702797826414,0.118734971594835,-0.609316909194045,0.387624376595127,0.277120614352547
"40",8045,"hypothesis-testing",-0.828818658794388,-0.83438478761665,-0.678867370232897,-0.785213575141866,-0.935191599164873,-0.762219724792459
"41",8046,"associative",0.456081797226774,0.290663666824635,0.422375350426667,0.554549954862198,0.514560641547705,0.565822193255319
"42",8046,"hypothesis-testing",0.178420527809211,0.61199402218868,0.080758557721277,0.283461818886101,0.790924011213129,0.237503175127436
